run,size,ratio,sampling_time_s,total_time_s
1,2000,1.0327359205978837,99.213561,100.78091189999999
2,2000,1.0279581201370769,94.9050149,95.9592634
3,2000,1.0208311820169786,96.3402337,97.28505750000001
4,2000,1.0284225851930537,84.79422410000001,86.3138635
5,2000,1.025582750013462,83.87068269999999,85.75873259999999
6,2000,1.0331740949515062,83.58126829999999,84.40507799999999
7,2000,1.0186483335260306,89.01197819999999,90.65936590000001
8,2000,1.025288353586601,88.11028329999999,89.85268930000001
9,2000,1.0192125487273258,88.26499910000001,89.69567820000003
10,2000,1.0223425017083378,86.1980327,87.7614977
11,2000,1.0206229685193158,86.02194129999998,87.32454949999999
12,2000,1.0280954967692928,85.56489069999998,86.56478190000001
13,2000,1.0251947398031733,87.0015242,88.29250740000003
14,2000,1.021624622743348,86.4642627,87.82955799999996
15,2000,1.0339725463125566,88.98890140000003,90.53436260000001
16,2000,1.042501348095899,84.22077640000003,85.4212789
17,2000,1.0157319795798094,84.64617099999998,85.97524080000005
18,2000,1.0342144828036592,83.8046243,84.53110349999997
19,2000,1.0308033423477938,88.27695489999996,89.2757259
20,2000,1.0290403715763392,89.93736490000003,90.58268269999996
21,2000,1.026996432915353,91.62256830000001,92.5175954
1,3000,1.0236679617953455,77.09907369999996,83.38865390000001
2,3000,1.01575542713067,79.1805673,83.3247146
3,3000,1.0141162845392853,79.00096969999993,82.56551029999991
4,3000,1.0166713382641162,80.85832419999997,85.00526979999995
5,3000,1.015158128281846,81.62443289999999,88.72700149999991
6,3000,1.0150875894670115,80.97959389999994,86.50894339999991
7,3000,1.0151332220518556,81.0161579999999,84.1124787
8,3000,1.011850199563449,81.97623209999995,86.32429439999999
9,3000,1.0154633085723914,85.00614609999991,91.3792567999999
10,3000,1.011389759063122,79.42269929999998,82.57995649999998
11,3000,1.0227361470047034,79.57589559999997,82.00841349999996
12,3000,1.0226575856593287,79.10767229999999,84.15520600000002
13,3000,1.0164079407205024,82.61651619999998,88.45779470000002
14,3000,1.0097972556402879,84.10883519999993,89.13532740000005
15,3000,1.0174435079283395,87.72730439999998,93.3182806000001
16,3000,1.013088733936851,81.80726389999995,85.55826419999994
17,3000,1.0306444494129263,81.00212540000007,84.98924290000014
18,3000,1.0213758276216411,78.95539599999984,82.7737376
19,3000,1.010574461567112,76.94102339999995,81.34100269999999
20,3000,1.0212479327885635,77.11473550000005,80.00820939999994
21,3000,1.018274204644311,77.44549789999996,81.7655036000001
1,4000,1.0127673899109015,78.26518600000009,85.89611020000007
2,4000,1.008114243219097,79.10214389999987,85.07389590000002
3,4000,1.0113922030843117,80.15933229999996,86.00596919999998
4,4000,1.0098112484230652,82.40705969999999,85.30271700000003
5,4000,1.01213455592697,82.25076289999993,88.61832479999998
6,4000,1.0093668252298766,84.97251419999998,89.12520010000003
7,4000,1.0081861861791326,93.58968179999988,100.85296439999979
8,4000,1.0099719852598394,90.68880009999998,96.98769489999995
9,4000,1.0144073537245155,89.19840130000011,97.70532360000016
10,4000,1.0123117256477476,85.1970788000001,91.68444810000005
11,4000,1.0091726741032447,86.1828782,92.2038505999999
