run,size,ratio,sampling_time_s,total_time_s
1,10000,1.0144090516403514,4.5955774,21.0903952
2,10000,1.0052682890383307,4.6980934,18.4725972
3,10000,1.0089029141279464,4.542219299999999,20.642679100000002
4,10000,1.0172674091989422,4.8400262,19.1024602
5,10000,1.00594951143717,5.5011206,21.3135831
6,10000,1.0027806838297437,5.4143305999999995,23.3151634
7,10000,1.0099764809949214,6.100743099999999,20.0860434
8,10000,1.0254908733991541,6.452036,22.347890800000002
9,10000,1.0079031906002498,5.272312999999997,16.212138799999998
10,10000,1.0054773284096201,5.110173800000005,17.759613
11,10000,1.0058861858993995,5.117431599999996,18.114063499999993
12,10000,1.016211316094327,5.286980200000002,16.868022899999993
13,10000,1.0058992194319158,5.359577600000009,18.025605499999998
14,10000,1.0076765383383368,5.236334400000004,20.159572600000004
15,10000,1.0062714655566596,5.284165999999999,19.915785299999996
16,10000,1.00786873547396,5.498629399999999,20.85965420000001
17,10000,1.0063820679797446,6.214874100000003,17.064757200000003
18,10000,1.0048158583046185,5.721541700000003,17.8594487
19,10000,1.0036215023620858,5.707982599999994,18.535646
20,10000,1.0071925434894595,5.4903268999999995,17.736090000000004
21,10000,1.006446078889465,5.2577712999999875,14.924846099999996
1,11000,1.0107142777304876,4.945996600000001,18.001993600000006
2,11000,1.0075674400860706,4.861059499999996,19.029974499999994
3,11000,1.0013689520689284,4.919960899999992,16.820894299999992
4,11000,1.0037848628994308,5.344957100000002,18.674026899999987
5,11000,1.0040337090903373,5.136750500000005,20.587084800000014
6,11000,1.0233814714806408,4.970683499999993,18.58422519999999
7,11000,1.0027811691684638,5.159827500000006,18.29804440000001
8,11000,1.004821497861731,5.482415199999991,15.733419699999985
9,11000,1.0105023668325666,5.566860399999996,20.33341489999998
10,11000,1.0090817985091527,5.291432399999991,21.171909900000003
11,11000,1.0093575452179955,5.576483199999984,22.954984800000005
12,11000,1.0151788015197825,5.324012899999985,18.977862999999985
13,11000,1.0014123541106443,5.187067299999995,18.5141859
14,11000,1.0073430056228918,4.889536499999991,19.6802835
15,11000,1.0061334473016603,4.834142100000008,19.228514700000005
16,11000,1.0083949636581198,5.000265200000001,19.275559000000015
17,11000,1.0039825624089698,5.229364000000004,19.8909314
18,11000,1.009907876472877,5.093557300000015,21.871710000000007
19,11000,1.0052482592759289,5.020752899999991,18.552391299999982
20,11000,1.010292564711865,5.123402400000003,20.112873200000024
21,11000,1.0071003144586854,5.243001800000002,18.234337699999998
1,12000,1.0062804315654317,4.895375699999988,21.858793299999974
2,12000,1.0091341241313745,4.9196733999999935,19.087771500000002
3,12000,1.0070941548447054,5.184799499999997,20.127144500000014
4,12000,1.0084422945555511,5.176860900000008,18.4825352
5,12000,1.0130273946494976,5.0240480999999875,18.38305839999998
6,12000,1.0108299646201784,4.876530699999989,19.984493200000003
7,12000,1.0092139215673064,5.139427799999993,20.130628
8,12000,1.0103502534391984,5.375612999999987,16.445916899999986
9,12000,1.0043335466494956,5.1093166,18.050603800000005
10,12000,1.0047563540197832,5.026760499999995,19.930947999999972
11,12000,1.0098568645077337,5.099691700000022,19.43226500000003
12,12000,1.0042734113214105,5.300565299999988,20.831574500000016
13,12000,1.01114432135028,5.515897300000006,20.04891950000001
14,12000,1.0037565849237673,5.3958394,20.45762830000001
15,12000,1.0053755623014637,5.576683100000025,21.904443300000025
16,12000,1.0109283851863717,5.977883599999984,22.607076000000006
17,12000,1.006160158904822,6.299285499999996,22.699710899999957
18,12000,1.0083856900496397,6.733551500000033,25.719437700000015
19,12000,1.0083695805765545,6.814224899999999,25.684142099999974
20,12000,1.014016733562834,6.846729500000038,21.65679190000003
21,12000,1.0131979889101064,7.058307899999988,24.099925999999982
1,13000,1.0045766624397674,6.67456530000004,23.749641600000018
2,13000,1.0038230543195046,6.50085439999998,25.236299299999985
3,13000,1.0065136562512293,6.191099300000019,23.5767285
4,13000,1.0161103471343562,6.524227899999971,24.243454600000007
5,13000,1.010066684543405,6.13853869999997,24.39089230000002
6,13000,1.0053602309956708,6.005976299999986,25.395666300000016
7,13000,1.0041250349430197,6.153832099999988,25.106336400000032
8,13000,1.0114195924996474,6.988026900000023,21.489683000000014
9,13000,1.0067882686868186,6.449790699999994,26.38024660000002
10,13000,1.007842651427487,6.278722399999992,27.47275209999998
11,13000,1.0069527902614,6.343311700000015,26.146390199999985
12,13000,1.0022373811486476,6.54323480000005,23.229355000000055
13,13000,1.0156833825050284,6.459159499999998,22.682293700000002
14,13000,1.003684142963095,6.012133699999993,22.37981880000001
15,13000,1.0122723755816765,6.02977420000002,24.85579180000002
16,13000,1.0017193943584461,6.0693772000000195,23.38503689999999
17,13000,1.0223565995189663,6.466366600000015,23.768351900000027
18,13000,1.0056587699419723,6.638984300000004,22.19365339999996
19,13000,1.0083626949187272,5.967695700000036,26.966251200000045
20,13000,1.0057101862815083,6.056897899999967,23.83748129999998
21,13000,1.0120284570215436,6.431009200000005,24.633376200000043
1,14000,1.0050661103037488,6.288528499999984,23.70861279999997
2,14000,1.0184981327891154,6.2332232000000545,25.23269110000001
3,14000,1.0069268948680414,6.216908799999999,24.11286910000001
4,14000,1.169733091449226,6.300856899999985,26.838788099999988
5,14000,1.0221204141088074,6.401541199999997,25.61922069999997
6,14000,1.015882534031943,6.199715699999956,24.264970999999946
7,14000,1.0160003176091115,6.31189059999997,25.98122699999999
8,14000,1.0039423883462493,6.494688300000007,27.380483999999967
9,14000,1.008839341052711,6.398783600000002,26.197975999999983
10,14000,1.012484137175704,6.053590999999983,23.82878599999998
11,14000,1.0071441200533497,6.108446000000015,22.20278959999996
12,14000,1.013025273882568,5.979820199999949,24.145552400000042
13,14000,1.0035473170012972,5.917427699999962,25.527908499999967
14,14000,1.0059677580590423,5.996409699999958,28.27187289999995
15,14000,1.004381478217808,6.0378262000000404,28.79199600000004
16,14000,1.0031524677087915,6.266848800000048,26.95907520000003
17,14000,1.0151072667923537,6.215030699999943,26.943193099999917
18,14000,1.0136705135820496,6.2269790000000285,27.513950799999975
19,14000,1.0048519392577135,6.185421100000099,24.486583300000007
20,14000,1.0079627782030203,6.232015499999989,25.964621400000055
21,14000,1.006020165828276,6.322551799999928,24.74279309999997
1,15000,1.0099409022789494,6.10917100000006,31.524730299999987
2,15000,1.0136013294752162,6.05488600000001,27.735528799999997
3,15000,1.0082783538746354,6.132474300000013,24.85686439999995
4,15000,1.017693359321787,6.061397099999908,28.784508399999936
5,15000,1.0123607161943096,6.3088076999999885,27.804386500000078
6,15000,1.0077987638176986,6.318968400000017,33.17206779999992
7,15000,1.00716224217654,6.381645100000014,26.714889599999992
8,15000,1.0095788782106174,6.304854399999954,34.350465299999996
9,15000,1.020576342434143,6.894199100000037,29.395118700000012
10,15000,1.0057801943348597,6.443505400000049,27.174718999999982
11,15000,1.0241087791197498,6.349879699999974,29.63290429999995
12,15000,1.0078405453550818,6.498923099999956,27.983063899999934
13,15000,1.003790499521679,6.459303200000022,27.544852500000047
14,15000,1.015747648788181,6.381620400000088,27.529029100000002
15,15000,1.0084430427217654,6.54595919999997,28.79654149999999
16,15000,1.0132134965108799,6.41977989999998,26.616378000000054
17,15000,1.008489791255221,6.352263000000107,32.96853770000007
18,15000,1.0098495962184693,6.991971499999977,30.41275600000006
19,15000,1.006370444145807,7.780581499999926,29.070390999999972
20,15000,1.0057232868207988,6.820506600000044,27.291011300000036
21,15000,1.0112578523421651,6.2466653999999835,28.730384400000048
1,16000,1.004123410838563,6.242428999999902,35.70613119999996
2,16000,1.0047800588250055,6.781739700000003,32.5960771
3,16000,1.0103274781546365,8.13458520000006,35.18463530000008
4,16000,1.0082740893589084,6.935796799999935,31.894957099999942
5,16000,1.004336106307559,6.847406200000023,30.152951700000017
6,16000,1.0119532498844155,6.858500100000015,32.18648059999998
7,16000,1.0106342094698015,6.968298399999981,32.519813099999965
8,16000,1.0102127511721954,7.508622500000001,30.401964499999963
9,16000,1.005633494240888,7.7978566000000455,28.908013900000014
10,16000,1.003325434239905,6.813245400000028,28.83748479999997
11,16000,1.0189237679185887,6.740760399999999,30.032297500000027
12,16000,1.007704849359926,6.589746900000023,28.43304969999997
13,16000,1.008766369884656,6.43556250000006,29.62905420000004
14,16000,1.0108735116393053,6.486185500000033,32.05892830000005
15,16000,1.0045422284681158,7.225680799999964,27.752927
16,16000,1.0194747765405305,6.454919500000074,29.324006499999996
17,16000,1.0181774574560158,6.45622759999992,30.145394999999894
18,16000,1.0140198483839336,5.909915100000035,32.712564199999974
19,16000,1.0102001761014185,5.963063000000034,31.59847400000001
20,16000,1.0107422819728455,6.400155000000041,30.106146599999988
21,16000,1.009915146834582,7.651429000000007,29.522954700000014
1,17000,1.0080510541011503,6.470444099999895,29.277990399999908
2,17000,1.0059124834523616,6.429299100000094,31.798147599999993
3,17000,1.0082728612250127,6.564244300000041,32.08339460000002
4,17000,1.004997493624657,6.833597200000099,30.263983499999995
5,17000,1.0041884656698326,8.052841899999976,32.427486600000066
6,17000,1.0094571697985424,6.373484399999938,28.663778500000035
7,17000,1.0079155018243144,5.968376300000045,26.893417200000044
8,17000,1.012750636876701,5.731727299999989,28.88606290000007
9,17000,1.0093015757570405,5.528397700000028,25.89386490000004
10,17000,1.007792825489201,5.464906499999984,30.112122799999952
11,17000,1.0146078295055747,5.505268900000033,31.579664200000025
12,17000,1.008021839529305,5.707736599999976,27.08912989999999
13,17000,1.009237114915633,5.893182600000046,28.846549600000003
14,17000,1.0069043393315382,5.61612690000004,24.497807899999998
15,17000,1.0067892239509888,5.470828800000049,30.46351249999998
16,17000,1.0049197593405588,5.567562199999998,31.02673230000005
17,17000,1.0132151910191747,5.711405900000045,28.574212000000102
18,17000,1.0134235817960013,6.195035599999983,31.1764809
19,17000,1.0084546893032278,6.022517899999912,29.92805199999998
20,17000,1.004920589986841,6.673317199999929,31.48041420000004
21,17000,1.0063933639021865,7.407106100000192,33.25986200000011
1,18000,1.004258996511235,6.01130709999984,29.553598399999828
2,18000,1.0161453602740531,6.648101799999949,34.673090399999865
3,18000,1.0122746778635747,6.4523417999998856,33.66337969999995
4,18000,1.0192618554354929,5.604878999999983,34.96772890000011
5,18000,1.0165885827490337,5.778491999999915,33.90255679999996
6,18000,1.0116621886378656,7.77942969999981,33.22834279999984
7,18000,1.0026351067198078,7.895222299999887,35.39989760000003
8,18000,1.0068398626398265,6.307789700000058,30.015733599999976
9,18000,1.0029971259018289,6.3018055,31.054189499999893
10,18000,1.0093431137279905,6.434263999999985,29.93698970000014
11,18000,1.0204889806776514,6.0958206999998765,33.32092449999982
12,18000,1.0137168101799492,5.901116900000034,30.24468150000007
13,18000,1.007622320633578,5.837582399999974,31.670981200000142
14,18000,1.0057587175793363,5.973813500000006,31.928764
15,18000,1.010637066592999,5.711729200000036,29.296879999999874
16,18000,1.0044124106313885,5.5404494000001705,32.069386500000064
17,18000,1.0197688362058968,5.470822100000078,33.80604230000017
18,18000,1.0062187409470105,5.720308899999964,30.31998049999993
19,18000,1.0111373495256484,5.6572197000000415,32.88956039999994
20,18000,1.0097329894140001,5.608128900000111,30.21317429999999
21,18000,1.0031096089714513,5.66800400000011,32.049399499999936
1,19000,1.0063449156635242,5.644303700000137,30.03047000000015
2,19000,1.00327644976455,5.4234202999998615,28.429495899999893
3,19000,1.0027130838331355,5.551531300000079,32.45183380000003
4,19000,1.01499487139172,6.4149311000001035,33.85790080000015
5,19000,1.0201597782340037,6.23437540000009,36.99459539999998
6,19000,1.0181558326453672,5.974051299999928,30.239840999999842
7,19000,1.0122577638506483,5.742001999999957,33.02948859999992
8,19000,1.01342063179363,5.822148900000002,31.3061095999999
9,19000,1.0085894009811487,5.629515800000036,37.98743190000005
10,19000,1.0084048314120486,5.697304300000042,35.35423539999988
11,19000,1.0090469532363093,5.792381100000057,30.844995000000154
12,19000,1.0124249619627184,5.549261699999988,31.95438050000007
13,19000,1.0055780097579765,5.71988599999986,38.32473589999995
14,19000,1.0049157622933047,5.59091629999989,35.67356359999985
15,19000,1.0075397455612292,5.923980300000039,33.01408749999996
16,19000,1.0114276004343887,6.34586749999994,40.88832060000004
17,19000,1.0119636062388464,6.715854600000057,40.076046399999996
18,19000,1.0157836059073764,6.481091500000048,41.62591710000015
19,19000,1.012964662888392,6.6709663999999975,40.81633099999999
20,19000,1.0101864807573684,6.553124399999888,35.322979299999815
21,19000,1.0088257454870877,6.294148999999834,33.85022059999983
1,20000,1.008485716679439,5.898605800000041,37.725865999999996
2,20000,1.0076925711881894,5.955076200000121,38.46722369999998
3,20000,1.01381451784953,6.584411199999977,38.17006259999994
4,20000,1.0124241374893348,6.862680500000124,42.929048800000146
5,20000,1.0039023351064633,6.211590000000115,37.08942210000009
6,20000,1.0105888396441371,6.101894500000071,36.62952990000008
7,20000,1.0116238326217784,6.518904499999962,37.05754539999998
8,20000,1.014708342014621,6.1601605000000745,40.03544149999993
9,20000,1.0114130036603124,6.256971500000191,38.58934110000018
10,20000,1.012428282061792,6.307235600000013,38.769045700000106
11,20000,1.007963408278263,6.711213399999906,35.58974129999979
12,20000,1.0086300089716038,6.022288099999969,41.36752369999999
13,20000,1.0021282165375291,6.212202799999886,39.543426599999975
14,20000,1.017082496945636,6.1764049999999315,37.70208279999997
15,20000,1.0106907731707724,7.287550900000042,41.86668589999999
16,20000,1.0072304432443016,6.164111000000048,36.66473800000017
17,20000,1.0139361823518787,6.047969899999998,36.09345009999993
18,20000,1.0036401554636132,6.154676999999992,32.61167469999987
19,20000,1.0134578169924466,7.0927176000000145,38.02464699999996
20,20000,1.007599413715886,5.882543799999894,35.91064749999987
21,20000,1.0078357424473445,5.8062316000000465,40.800086700000065
1,21000,1.0187077295629194,5.955717800000002,42.2513785000001
2,21000,1.0081797214559785,7.131764799999928,39.603163700000096
3,21000,1.0154597417346167,6.969765399999915,46.013996099999986
4,21000,1.0104057486447795,6.477235999999948,45.292069200000014
5,21000,1.0088077989808089,6.560510199999953,41.149801100000104
6,21000,1.0038314010061342,6.8922019999999975,38.254870900000014
7,21000,1.0070970262960377,5.680385300000125,36.682249800000136
8,21000,1.0082984532340482,5.123939500000006,40.78639610000005
9,21000,1.0039907529680958,5.220202400000062,39.729276200000186
