run,size,ratio,sampling_time_s,total_time_s
1,2000,1.0306821239475208,87.25058570876718,89.87475811690092
2,2000,1.0582490233089545,82.69979843869805,83.47578502446413
3,2000,1.048857832242898,79.70814847573638,83.96392497420311
4,2000,1.0464796160165026,84.85492510348558,86.71258135512471
5,2000,1.0578670782006467,86.05565024912357,88.17764039337635
6,2000,1.0602059696347192,86.64567804336548,87.51789854839444
7,2000,1.0519789656521048,83.04982611909509,83.95245787501335
8,2000,1.0463334603026335,83.98664876446128,84.62180565297604
9,2000,1.0553100589041158,86.62716801464558,89.26875280588865
10,2000,1.0311633400295699,86.03533016517758,87.33976886048913
11,2000,1.0502297892022838,81.93863417953253,82.40411684289575
12,2000,1.0563830673024341,86.07247121632099,88.64922397956252
13,2000,1.030640565865164,86.70898891240358,88.8483794182539
14,2000,1.0776077614318456,87.2044372074306,89.32931353151798
15,2000,1.0528525499888455,85.14192717149854,86.15919141098857
16,2000,1.039794716608984,73.05918449163437,74.22834810987115
17,2000,1.0510610110536938,74.57359896972775,74.8250982388854
18,2000,1.0644697365754912,76.87869686633348,77.55796752870083
19,2000,1.0483855093686463,77.78929254412651,79.62235999107361
20,2000,1.0619667935216068,78.45895136520267,79.63198538124561
21,2000,1.0912904848025247,78.4737047702074,79.64184391871095
1,3000,1.0355508369175084,80.86271881684661,82.54477963596582
2,3000,1.0568400148507322,80.45991810038686,83.95302238315344
3,3000,1.038269938107629,82.46709697693586,83.24507956579328
4,3000,1.0253835799521689,81.78021141886711,83.56653164327145
5,3000,1.043174197293333,83.12563367933035,85.19277514144778
6,3000,1.033799347605096,82.1095230653882,83.68552474677563
7,3000,1.0707554058775466,81.3319840580225,82.77802528440952
8,3000,1.0307508879481073,80.6393228545785,83.10778147727251
9,3000,1.049343681809451,80.1439125277102,81.70868292823434
10,3000,1.0273911169151075,72.81288604810834,73.40150932222605
11,3000,1.0319055260163446,72.5380245000124,73.50495560094714
12,3000,1.0335555082772068,73.72959101945162,75.197210483253
13,3000,1.0296463799921332,74.52246493473649,75.30160908401012
14,3000,1.0351451255425843,74.13370718061924,75.53920144960284
15,3000,1.0530373404114466,73.94323782622814,74.98263195902109
16,3000,1.0319837598861128,74.5102027952671,76.4454833380878
17,3000,1.0294899063599803,79.73378225415945,81.00407309830189
18,3000,1.0367250615688273,76.72992358356714,78.76820075511932
19,3000,1.0385472717137534,77.53068431839347,78.54914766550064
20,3000,1.0281752054327133,79.04079472273588,80.93181529268622
21,3000,1.0323568063249233,79.79795230180025,81.0890278108418
1,4000,1.0452077036218532,78.23371534794569,79.5007674433291
2,4000,1.0340060880809125,78.37951586395502,79.85640679299831
3,4000,1.0464449096260355,79.45743375644088,81.23407189548016
4,4000,1.03201290481709,71.75836939737201,73.39942689612508
5,4000,1.0450971453298894,73.00491374358535,75.58033650368452
6,4000,1.0536218830923747,73.65840264037251,75.57824721187353
7,4000,1.0371248142482998,74.14564380049706,75.0767929404974
8,4000,1.0439511820722729,73.33429457619786,75.0786048732698
9,4000,1.0440136231168495,73.16085717827082,74.39307913184166
10,4000,1.0393004111456607,72.95113334432244,74.55682744085789
11,4000,1.04035699856099,76.76561579108238,79.53501069918275
12,4000,1.0345172021769553,74.21937256678939,75.7826446890831
13,4000,1.049709000336037,76.96155686676502,79.77227217704058
14,4000,1.031107267381895,77.90393698215485,81.17133544012904
15,4000,1.023794751925243,77.30232129991055,80.20895202085376
16,4000,1.0229925744430928,76.72464801743627,78.91203885525465
17,4000,1.037999633728687,76.33973390236497,80.71379479020834
18,4000,1.038083017037677,76.10657721012831,79.00828205049038
19,4000,1.0638045679088384,72.87242356687784,74.07699774578214
20,4000,1.0387357703195623,73.07787652313709,75.65936759114265
21,4000,1.063034348607235,73.36149244382977,75.25231746584177
1,5000,1.0558367904282353,74.84678149223328,77.20403717458248
2,5000,1.0277493243868787,73.40004716441035,81.34334684535861
3,5000,1.0424821067654568,74.69958153739572,78.11770756915212
4,5000,1.0291868283322434,73.94286872074008,76.6011614240706
5,5000,1.0290004479128017,72.55493163317442,77.25478713959455
6,5000,1.0500689644616161,73.260438721627,74.62620951235294
7,5000,1.0533563433889377,76.47578157112002,80.60180630534887
8,5000,1.0281751962536005,76.27719192579389,78.38421392813325
9,5000,1.0461802669213796,76.57140943408012,80.03802028670907
10,5000,1.0369565536780156,77.4538889080286,78.00202726572752
11,5000,1.051525608561438,77.06094539538026,78.48675165697932
12,5000,1.0474184472163133,77.60501275584102,80.26790777593851
13,5000,1.0494088301874234,75.8613033592701,79.00569374486804
14,5000,1.0493294625737395,72.88119910284877,74.61533503234386
15,5000,1.0491004795989283,73.52871647849679,74.68756644427776
16,5000,1.0382405842349678,73.88703274354339,74.15418090671301
17,5000,1.0417003121981534,73.66550129652023,75.83434748277068
18,5000,1.0398940373028736,74.04641902446747,78.76967968791723
19,5000,1.0392404642407482,74.35458220168948,77.05454099178314
20,5000,1.02994874662191,72.67137191817164,75.39201673865318
21,5000,1.0452514617905417,73.99005593732,76.86891482025385
1,6000,1.0425927895984675,74.84600847959518,77.41555229201913
2,6000,1.0372010177036792,77.52567309141159,79.55127081647515
3,6000,1.0432151116643906,79.19326324760914,80.57552690058947
4,6000,1.0321938205884842,75.54992461204529,80.14833617955446
5,6000,1.0368501409722444,77.35241423547268,80.2618580982089
6,6000,1.0232988356221413,78.7573211081326,83.97026634216309
7,6000,1.0424256567144112,75.48617287352681,79.02974122017622
8,6000,1.0314761530246859,75.3176792934537,79.0261501185596
9,6000,1.0225955078957583,74.50255516171455,75.88545434176922
10,6000,1.0233543369289675,74.55644653737545,76.3075393512845
11,6000,1.0478122537677301,73.7879400216043,77.16533723846078
12,6000,1.0376289349559833,73.67133135348558,75.2310269549489
13,6000,1.0377705176523302,73.47967204079032,77.19411019608378
14,6000,1.0344758674245877,73.51123268902302,78.7220416367054
15,6000,1.027927519902135,74.24265037104487,80.0023859962821
16,6000,1.036877319494693,74.54426981136203,76.50455044582486
17,6000,1.0534438503094306,75.09952994808555,76.83097595721483
18,6000,1.0391655775455082,77.10473281517625,82.54374159500003
19,6000,1.0289144743040766,75.97411365807056,81.11620170623064
20,6000,1.0167348758227504,76.34243328869343,84.85690208896995
21,6000,1.0262892503942764,77.36242505908012,81.78700460866094
1,7000,1.0349176065014387,76.04217386990786,82.7862541154027
2,7000,1.023705354514724,75.64384219422936,80.07449908554554
3,7000,1.0224641769158156,76.5028073862195,84.23814659193158
4,7000,1.0509722430981705,76.64147673547268,78.9409893527627
5,7000,1.0464984576904979,75.48752544820309,78.20363357663155
6,7000,1.0251190568497615,73.99016924202442,78.372961435467
7,7000,1.0478764907824927,74.35427747666836,77.73100318387151
8,7000,1.041239468411119,73.46971599385142,77.20686991140246
9,7000,1.0398533026257077,75.18347085267305,78.341084882617
10,7000,1.018628011235168,74.87245461717248,81.08180881291628
11,7000,1.0422277826107058,75.54408931732178,76.9703702814877
12,7000,1.0395324586002206,76.90004862844944,79.63364562764764
13,7000,1.0422790906546422,76.96791398152709,80.44609691947699
14,7000,1.0158937528414387,77.73989130929112,81.97441136464477
15,7000,1.0440177002069682,77.88544135168195,82.04870051890612
16,7000,1.0320856038402746,76.25081777200103,77.60406408458948
17,7000,1.0383725808874047,76.63812588900328,78.13771995529532
18,7000,1.0219170505571757,78.2350295893848,83.28106386587024
19,7000,1.0246635410287368,78.14517284929752,84.65759791433811
20,7000,1.0462468118078023,77.7332561686635,82.09207115322351
21,7000,1.0431699443204367,77.09028161689639,79.32474198937416
1,8000,1.0433753420398033,75.78142589330673,78.94760002568364
2,8000,1.0432716821166288,74.00887484103441,79.14199941977859
3,8000,1.0323793627903775,75.77594619989395,79.78066909313202
4,8000,1.042667009496223,75.78580781444907,78.7661526016891
5,8000,1.0431396229978025,75.75182982906699,79.47037103027105
6,8000,1.0266725282933549,76.56174720078707,78.66032699868083
7,8000,1.0248356342635105,76.70769285410643,78.92712749913335
8,8000,1.0523830930992417,78.59757859632373,83.98961033672094
9,8000,1.0265802056669708,78.54509471356869,83.44963884726167
10,8000,1.0367030363795962,74.36053026840091,79.96568022668362
11,8000,1.0471819245776197,75.33338887616992,79.96910943090916
12,8000,1.030272993589411,77.57388891652226,79.3993780426681
13,8000,1.034683895068026,77.94730134308338,82.91792587935925
