run,size,ratio,sampling_time_s,total_time_s
1,500,1.2503980765244378,33.85969848185778,35.71213039755821
2,500,1.1693366017719076,34.30360194668174,36.269366290420294
3,500,1.1188694522933313,34.17246687412262,36.28740694373846
4,500,1.155279588071915,33.370823834091425,36.13719977810979
5,500,1.2227626365205602,32.484968330711126,33.075378123670816
6,500,1.200475950947415,32.988262981176376,33.6410973854363
7,500,1.2397100879373315,33.07869341596961,33.8504353761673
8,500,1.2043379534540344,33.133346766233444,35.01249269768596
9,500,1.1840611716625131,32.72481447085738,34.438523046672344
10,500,1.138605128809183,33.18800039216876,35.137341912835836
11,500,1.1821253937378535,33.64613584801555,35.33047666400671
12,500,1.1373536640544455,33.909452222287655,35.12199326977134
13,500,1.169484903128505,33.31250710040331,33.91989538818598
14,500,1.1789667883932489,33.604853469878435,35.09947792440653
15,500,1.1589270218296515,32.82428953796625,33.85437506809831
16,500,1.2234179365057396,29.98133672401309,31.847508929669857
17,500,1.1660630100373819,33.63890861347318,35.31560639292002
18,500,1.202327336909772,31.981758419424295,32.705811746418476
19,500,1.2076181159493344,32.31842923536897,35.08463056012988
20,500,1.2155894837493126,32.98559536784887,36.41965091601014
21,500,1.1993888128504877,33.07312313467264,35.272354166954756
1,1000,1.0896160921155817,32.98548026010394,36.59636953473091
2,1000,1.0761263626543678,32.74585650116205,34.113773349672556
3,1000,1.0892879540344391,34.035098008811474,34.97863803803921
4,1000,1.0841811050843506,33.93035735934973,36.077934093773365
5,1000,1.075394940711491,33.70658454671502,35.527933079749346
6,1000,1.0950523374932897,33.400133572518826,35.84739799425006
7,1000,1.1120232936265715,32.8859350644052,34.09065818786621
8,1000,1.0712049854412553,33.05914982408285,33.530870247632265
9,1000,1.118125419118329,32.89489169791341,35.22379529103637
10,1000,1.0841443001294615,28.058327183127403,29.868846729397774
11,1000,1.095190681192779,28.54819107055664,30.096665661782026
12,1000,1.063769204658111,31.82434917986393,34.718711368739605
13,1000,1.0975202299377762,31.106087777763605,34.06432730332017
14,1000,1.0808643779116485,32.08380715921521,34.03539005294442
15,1000,1.091334498474166,33.105011481791735,36.79985926300287
16,1000,1.0616942126301947,32.059788800776005,32.76436773315072
17,1000,1.064693872084121,33.83021916076541,38.50785104557872
18,1000,1.0778379176078978,33.065076783299446,34.89138498157263
19,1000,1.0987719440094956,33.5547688677907,37.24245189875364
20,1000,1.0709250991251555,32.15114030987024,37.57181212678552
21,1000,1.116157735674849,32.24035156518221,33.64305456355214
1,1500,1.0423733390218242,31.974661376327276,37.43839264661074
2,1500,1.0543032054659045,31.99474535509944,35.60885268822312
3,1500,1.0528818135764142,32.39980814233422,35.73534628376365
4,1500,1.073772131084968,26.069251466542482,28.84736067429185
5,1500,1.0616890141854813,26.260091181844473,28.856248300522566
6,1500,1.056469745316147,32.02742687240243,34.06084953248501
7,1500,1.0707498463225462,31.485406652092934,35.500322211533785
8,1500,1.0646231484426867,30.85403073951602,39.03548515215516
9,1500,1.0510965365035712,29.829089000821114,35.99854739010334
10,1500,1.0402425684625667,31.32708067819476,32.46579932421446
11,1500,1.0568696769298829,29.816125061362982,30.775502063333988
12,1500,1.0647487900499384,31.162152897566557,32.774656511843204
13,1500,1.045759606111203,32.97262688726187,37.73533056303859
14,1500,1.055932972331166,31.456055354326963,36.178079545497894
15,1500,1.0574588599917842,30.06112501770258,33.82953871041536
16,1500,1.0594781056091669,32.85271583124995,37.39050407335162
17,1500,1.0467373418303614,32.67855288460851,38.04877558350563
18,1500,1.048628914780797,32.00706293433905,39.15743837878108
19,1500,1.0751171774208206,27.005107283592224,28.95761599764228
20,1500,1.0413237900703751,27.14494725689292,29.188480351120234
21,1500,1.0450411520470382,26.837707869708538,30.722969576716423
1,2000,1.0364429589141362,28.12587796896696,34.4182154238224
2,2000,1.0417235425886924,29.236119765788317,32.29421902447939
3,2000,1.0322387526507726,30.284288678318262,34.257405288517475
4,2000,1.0324996082480475,29.354618586599827,34.98849903419614
5,2000,1.0441270591479694,29.166942469775677,38.87726153060794
6,2000,1.0413418530136487,30.112668558955193,33.64696096256375
7,2000,1.0432701327359837,31.45445776730776,37.22186440601945
8,2000,1.0436751375725846,30.384364653378725,31.761200673878193
9,2000,1.027137462823746,31.21302479505539,32.2777363806963
10,2000,1.0275746839239366,30.81638364866376,35.36617812141776
11,2000,1.0282489748368133,30.731527499854565,34.34959488362074
12,2000,1.0392472694212627,30.369807727634907,35.501464910805225
