run,size,ratio,sampling_time_s,total_time_s
1,2000,1.0196498987105795,7.1722109,8.3743126
2,2000,1.0634703041723539,7.1110052,8.3262809
3,2000,1.0140140140709692,7.172514300000001,8.2744873
4,2000,1.0170347909546331,8.339727100000001,9.196042299999998
5,2000,1.014296878754166,6.910150699999999,7.621346599999999
6,2000,1.0059705350245116,6.903711099999999,7.596260100000002
7,2000,0.9997254378258745,6.8823635,7.9914095
8,2000,1.0113732944131058,6.947724300000001,7.5729514999999985
9,2000,1.015016541631064,6.928017499999999,8.288548499999997
10,2000,1.0228127970405363,6.920715699999999,8.280023499999999
11,2000,1.006890304729346,7.0192528,8.0924129
12,2000,1.013550795873884,6.9752385,7.898661400000002
13,2000,1.0176724913016233,7.3015142,8.5620653
14,2000,1.032884508217384,7.305925699999996,7.958772599999996
15,2000,1.0137957240275919,7.304636300000002,8.7381511
16,2000,1.0049194768814562,7.2697603000000015,8.470787700000002
17,2000,1.0165037446542693,7.035854499999999,8.160711899999995
18,2000,0.9984353271649241,7.049268599999998,8.288400699999997
19,2000,1.0379541186078953,7.063147400000005,8.174931200000003
20,2000,1.0140587237262382,7.0244915999999975,7.8190667000000005
21,2000,1.0041493095797633,7.113877000000002,7.8193853
1,3000,1.0064338836236444,7.321765299999996,8.983295399999996
2,3000,1.0054715390556264,7.309711200000002,10.133892800000005
3,3000,1.0110524339203995,7.301290300000005,9.905911000000003
4,3000,0.9999930329401437,7.613437299999994,10.880544099999995
5,3000,1.0108804041844082,7.4194657000000035,10.888613900000003
6,3000,1.0356410710281048,7.534550299999999,9.986104099999999
7,3000,1.0084619730109328,7.481771799999997,10.902802399999992
8,3000,1.0110940309535361,7.922679900000006,8.988918600000005
9,3000,1.0023615385692113,7.923986400000004,12.547648199999998
10,3000,1.0009872918363187,7.922081800000001,11.753335300000003
11,3000,1.0231853760552385,7.819868499999998,11.339204100000003
12,3000,1.0075465581719358,7.480334999999997,9.117221799999996
13,3000,1.000792609651551,6.8695657999999895,9.325732899999991
14,3000,1.0153853328978573,6.912401799999998,10.262090200000003
15,3000,1.0140440032457034,7.034760600000013,9.162784600000009
16,3000,1.0029404211808575,7.6654795000000036,8.932037699999995
17,3000,1.0001355362341349,7.581181099999995,10.9751622
18,3000,1.0029754794800416,7.46007019999999,10.4761819
19,3000,1.0041154681733662,7.431342399999991,10.648692799999992
20,3000,1.0214030477752207,7.685999600000002,8.974661299999994
21,3000,1.0169680349605383,7.3489936,14.646792999999988
1,4000,1.0089422147641973,7.335077799999993,12.869841899999997
2,4000,1.0068067803764427,7.1854787999999985,10.663921899999991
3,4000,1.0045801984798075,7.310711900000001,14.01052639999999
4,4000,1.0014348691435058,7.4744110999999975,8.8003918
5,4000,1.001528195088827,7.409211099999993,12.800819699999991
6,4000,1.0046403265192771,7.799270800000002,11.145802799999998
7,4000,1.0001537995999834,7.930230699999996,11.794910299999998
8,4000,1.0103110360378942,9.4292303,12.187870300000014
9,4000,1.0064865863791332,8.976084499999999,13.279311099999987
10,4000,1.0056107789672084,8.87225509999999,12.252656799999983
11,4000,1.0027118959841184,8.672166199999992,12.789508299999994
12,4000,1.0037138305752635,9.235746599999999,12.878331400000008
13,4000,1.0036346504403968,10.85156219999999,15.470732300000009
14,4000,1.0024864343920368,11.275283799999983,16.62039249999998
15,4000,1.0072173282866395,11.300860799999981,17.92581389999998
16,4000,1.0046098292641794,10.610785399999997,12.184725500000013
17,4000,1.0025744893527555,8.300083100000023,11.324590700000016
18,4000,1.0166045345927914,8.168245900000016,14.013127300000008
19,4000,1.0145156202438048,8.511964300000017,11.836248699999999
20,4000,1.0041196664155942,8.673631300000011,13.20572900000002
21,4000,1.0011009407335094,8.952337499999999,9.80826350000001
1,5000,1.0223222843999094,7.90933609999999,13.668613899999997
2,5000,1.006295028196096,7.841700400000008,13.5166337
3,5000,0.9976989448480373,8.026383699999997,19.7154606
4,5000,1.0123597519869152,8.439930299999986,15.803532499999989
5,5000,1.0048836592774484,8.068501200000014,12.312211400000024
6,5000,1.0075736362161969,7.971810800000014,9.974837400000013
7,5000,1.0056273429349352,7.590641499999975,10.295212899999996
8,5000,1.0001306901947857,7.4891496999999845,12.333341200000007
9,5000,1.0055111314180714,7.7413430000000005,12.796725900000013
10,5000,0.9996050926826069,8.27141039999998,11.222382899999985
11,5000,1.0112746745397303,8.060974500000015,10.530376400000023
12,5000,1.009055045235581,7.485427299999998,12.013113900000008
13,5000,1.0024609176030956,7.37537549999999,13.5559911
14,5000,1.0060624504584255,7.521729599999986,9.997749699999986
15,5000,1.0681511389284386,7.888349199999993,11.221779099999992
16,5000,1.0124551866062086,7.582365899999985,11.7919129
17,5000,1.0035252035120672,7.822496600000022,10.549818600000009
18,5000,1.0096852499394189,8.281640899999985,10.551983000000007
19,5000,1.0046427650847116,8.698338999999976,11.906014999999996
20,5000,1.0079809153195698,8.42088290000001,11.278219000000007
21,5000,1.0010055862167486,8.351395499999995,16.050618200000002
1,6000,1.0012184529258792,8.125464399999998,11.617508700000002
2,6000,1.0024550485042558,8.135424599999993,12.612278500000002
3,6000,1.0047569473904712,7.7287972000000025,17.954760499999992
4,6000,1.0061498712263361,7.588575999999989,10.309621700000008
5,6000,1.026548621480561,7.706236200000006,11.799239400000005
6,6000,0.9995832900362412,7.910099000000002,11.829683499999987
7,6000,1.0114919949978134,7.466098399999993,10.521106300000014
8,6000,1.0017637163786306,7.439743399999998,15.280900599999995
9,6000,1.0036310034695368,7.425788599999976,13.318902700000024
10,6000,1.0042816226137268,7.630954700000018,13.214027799999997
11,6000,1.0045700444765158,8.173306400000001,13.95158170000002
12,6000,1.0069611165103536,8.578621499999997,19.5841451
13,6000,1.0043143317406962,8.4615948,13.009703699999989
14,6000,1.0198922242058923,8.487797900000032,22.740388800000005
15,6000,1.002135214141406,9.685606900000039,22.146716300000037
16,6000,0.9986219565190052,9.868086900000037,14.064833099999987
17,6000,1.0070187920126488,8.786723400000028,16.444959900000015
18,6000,1.0056759365644088,7.903395799999998,12.007574599999998
19,6000,1.0041544716410769,8.724601500000006,12.73832490000001
20,6000,1.0018314388660219,8.922781799999996,14.467274999999972
21,6000,1.0007723683911947,8.03627610000001,18.417172600000015
1,7000,1.0024437225727965,7.844546600000001,15.116487699999993
2,7000,1.0015724674644595,8.264049699999987,12.851459599999998
3,7000,1.008084573682582,9.960403499999984,18.165181599999983
4,7000,1.0026855815170692,9.303149700000006,16.303737100000035
5,7000,0.9987308778628277,8.499817000000007,18.750114399999973
6,7000,1.0062891285448916,8.48361650000004,19.129739099999995
7,7000,1.003592063554654,8.10482589999998,13.227875299999994
8,7000,1.0002318980945806,7.631436199999996,16.156067000000007
9,7000,1.0079858930571681,7.956757000000039,14.151712400000008
10,7000,0.9987887597309038,8.203024000000028,16.77299370000003
11,7000,1.0160898115584753,8.454193499999974,14.566841399999987
12,7000,0.9994532873852544,8.385170899999991,14.818305399999986
13,7000,1.000051311135623,8.25186389999999,18.217498799999987
14,7000,1.004573488541428,8.527490999999998,14.822450199999992
15,7000,1.0046170144647544,8.615364199999988,17.594889799999976
16,7000,1.007909515663086,9.460992799999985,19.094644200000005
17,7000,1.0040005306050113,7.899801200000013,15.182211400000028
18,7000,1.0005573061106152,7.9935831000000235,18.1369186
19,7000,1.0039362139877253,8.092729600000041,12.813671
20,7000,1.0009990478943203,7.338685399999974,11.496308599999963
21,7000,1.0005383130437635,7.2107111999999915,17.17681540000001
1,8000,1.000818063012556,7.433597099999986,15.466755400000011
2,8000,1.009752590023501,7.6642696000000115,18.617705
3,8000,0.9996322943796315,7.907983999999999,20.359764700000028
4,8000,1.0026675520571218,7.919261800000015,13.133594100000039
5,8000,1.0038027957415911,7.926046699999972,32.67319279999998
6,8000,1.0088634709080897,8.329927300000008,26.360548900000026
7,8000,1.0032821843880133,8.892918899999984,20.94755809999998
8,8000,1.0025670097976,8.999011999999993,22.58160810000004
9,8000,1.0045569396353666,8.774474300000008,12.593297399999983
10,8000,1.0000176629291677,8.460741300000052,13.655833900000005
11,8000,1.0032501919310175,8.383029399999998,15.210344499999962
12,8000,1.0003378841465995,8.352866199999994,15.4977753
13,8000,1.0033080686872913,8.540905199999997,15.615864600000009
14,8000,1.000827489325493,8.303174100000035,16.465255400000046
15,8000,1.0049856830152788,8.573096799999973,16.02222059999997
16,8000,1.0047509228715104,8.705005400000005,15.216995499999996
17,8000,0.9978102213696305,8.722536200000036,18.728270199999997
18,8000,1.0072000050392758,8.789763300000004,16.81334179999999
19,8000,1.002307159562329,8.95528509999997,15.630441799999971
20,8000,1.000044216426473,9.404335500000002,18.686908200000005
21,8000,1.0046426072289745,8.374310499999979,15.194986099999994
1,9000,0.999691946349337,8.371551600000032,14.975389399999983
2,9000,1.0025809851557745,8.665151900000012,16.95638100000002
3,9000,1.0025845917584282,9.11186939999999,14.406801299999984
4,9000,1.0081051420473357,7.727339000000029,12.87615470000003
5,9000,1.0063397054545433,7.79373320000002,13.072699599999964
6,9000,0.9993615400554328,8.369509900000025,17.047011100000077
7,9000,1.0004939536713315,8.393336599999998,19.39018950000002
8,9000,0.9985872781413099,8.275010199999997,18.424253399999998
9,9000,1.0083794086711748,8.262862900000073,15.235743400000047
10,9000,1.00252239428915,8.240952300000004,15.020011699999941
11,9000,1.0027307142881723,8.359392700000058,13.38746320000007
12,9000,1.0036097628550886,8.83012999999994,16.330508399999985
13,9000,1.0069245717037787,8.824752200000034,18.605670200000077
14,9000,1.0033371892423686,8.583806799999934,23.244434999999953
15,9000,0.999690496192964,8.342074599999933,17.260579599999915
16,9000,0.9996730067253788,7.718958000000043,16.226978400000007
17,9000,1.0003738040051362,8.55724269999996,20.929402199999913
18,9000,1.0017670782897308,8.583886600000028,23.044721799999934
19,9000,1.0005845200282832,8.41236230000004,18.524127499999963
20,9000,1.0000007443087147,8.78694239999993,19.829323399999907
21,9000,1.0037348971248317,10.088118000000009,14.773596899999916
1,10000,1.0037675725429112,8.809055299999955,17.070758599999976
2,10000,0.9985556347743377,8.117638599999964,18.719518799999946
3,10000,0.9991157492784949,7.772868399999993,13.492245799999978
4,10000,1.0088997471835714,7.837304499999959,14.858207900000025
5,10000,1.0022848878030317,7.313350000000014,21.34120680000001
6,10000,1.0063659442542077,7.248521299999993,16.37309349999998
7,10000,1.0041218060825936,8.258645500000057,22.395444500000053
8,10000,1.002954292941633,9.45914629999993,24.565680999999927
9,10000,0.9982662959228306,10.563992199999916,22.260646899999983
10,10000,0.9984242803239377,9.200228899999956,23.264853099999982
11,10000,1.0144154389693651,7.97753339999997,17.506611099999986
12,10000,1.0027818142930292,8.410291299999926,16.498334699999987
13,10000,1.0020702470152627,8.238557700000001,14.801016699999991
14,10000,1.0023562886693955,7.6920827000000145,23.86757990000001
15,10000,1.0118487695225906,7.781544800000006,13.637786399999982
16,10000,1.0051926831753952,8.012775500000089,14.458418800000004
17,10000,1.0044350646792812,8.427813900000046,20.666807999999946
18,10000,1.0116783851661466,8.30584179999994,14.762099799999987
19,10000,1.0017695488250817,8.367646500000092,14.452925800000003
20,10000,1.0015704223516475,8.55348360000005,12.969202600000017
21,10000,1.004403691388212,8.441259299999956,20.539925699999912
1,11000,1.0013077271737862,8.830772900000056,25.789346000000023
2,11000,1.0083770542387216,9.04225340000005,23.261336700000015
3,11000,1.0035555822199127,10.379491199999961,21.062083799999982
4,11000,1.000661222079729,8.276414799999998,15.328091500000028
5,11000,1.0007615430211318,8.01416180000001,23.756251099999986
6,11000,0.9999750179469018,8.157223900000076,22.66289160000008
7,11000,0.9980495454448551,8.457405999999992,22.119229200000063
8,11000,1.001399921769124,8.709969600000022,17.27776760000006
9,11000,1.0023654071743404,7.871290799999997,26.19519980000007
10,11000,1.00960185617404,8.057131000000027,19.147225400000025
11,11000,1.0031652628900776,7.990407599999912,20.533892100000003
12,11000,1.0011990389976366,8.625267299999905,17.890002399999958
13,11000,0.9988950314136784,7.79570590000003,17.014573799999994
14,11000,1.0027733927418576,7.509379500000023,17.26063369999997
15,11000,1.0039289566765996,7.362879299999918,21.469364199999973
16,11000,1.0026288304281596,7.005992500000048,15.152361000000042
17,11000,0.9982565099752118,6.883285200000046,14.720127199999979
18,11000,1.004621586603655,6.738644600000043,12.042750700000056
19,11000,1.0017143386284102,6.716693100000043,15.764332400000058
20,11000,0.9979692127015951,7.079051100000015,13.971771999999987
21,11000,1.0005163152797814,6.674226399999952,20.074267599999985
1,12000,1.0040301601058743,6.327242400000046,13.19684319999999
2,12000,1.0005641972758075,6.419568899999945,21.958342899999934
3,12000,1.0004551815774183,6.31755140000007,14.39405910000005
4,12000,1.004227052146585,5.837255299999924,17.816173699999922
5,12000,1.003364382063286,6.8287156000000095,14.527502199999958
6,12000,1.00170079689953,6.8588978000000225,16.52566520000005
7,12000,1.0038201730172542,6.3086013999999295,20.222785499999986
8,12000,1.000299357227985,5.5806098000000475,14.166739600000028
9,12000,1.0031797146961903,5.5174200000000155,10.879790400000047
10,12000,1.003167544184588,5.966534600000045,11.806528400000047
11,12000,0.9985355202560431,5.566101899999921,12.376743799999986
12,12000,1.0020737162029196,5.428123299999925,13.250833499999999
13,12000,1.002768133105228,5.593828899999949,13.754072400000041
14,12000,1.004618507106914,5.740549499999929,13.442097900000022
15,12000,1.0040483177512425,5.352991399999951,19.531576799999925
16,12000,1.0031230516335614,5.279230299999995,19.477006399999937
17,12000,1.0033135467103318,5.27463709999995,15.867535999999973
18,12000,1.0016318034310698,5.173424400000044,12.986751400000003
19,12000,1.0050532521063078,5.976436500000091,17.3968000000001
20,12000,1.0008886727825235,5.987553100000014,17.987512100000004
21,12000,1.0034099988843233,5.883029399999941,19.249670599999945
1,13000,0.9998041855612826,6.209473799999955,20.07085989999996
2,13000,1.0005042828011588,6.687989899999934,15.650197699999921
3,13000,1.0037133470556976,6.163618700000029,17.348663099999953
4,13000,0.9985622283426819,6.085086600000068,17.342897700000094
5,13000,0.9982691723543311,6.270245300000056,21.456051099999968
6,13000,1.000326745150814,6.182830800000033,18.094979800000033
7,13000,0.9989581776011011,5.327918899999986,17.900671800000055
8,13000,0.9980569323990895,5.33556759999999,13.891467299999931
9,13000,1.0013077161887896,5.821291700000074,16.53160200000002
10,13000,1.0058601122240056,5.2955809000000045,13.123165500000027
11,13000,1.0094067694863667,5.2821639000000005,12.318939900000032
12,13000,1.0032540399603755,6.506633999999963,11.065040999999951
