run,size,ratio,sampling_time_s,total_time_s
1,500,1.361861711834787,1.9596422000000002,2.3372724
2,500,1.4363329162185192,2.0340654999999996,2.843491
3,500,1.3626727004891281,1.9267713000000004,2.4692051
4,500,1.342590938000481,1.9672862999999996,2.4457417
5,500,1.3560368474622184,1.4878241999999995,1.8849150999999997
6,500,1.3639961535607237,1.5354256999999993,2.0123755999999995
7,500,1.291741396998749,1.4785510999999998,1.9313868000000003
8,500,1.2857976201161114,1.3628314999999995,1.7955731999999998
9,500,1.4239627897775173,1.4147633000000006,1.8523841999999995
10,500,1.3514761943987295,1.341447500000001,1.9292458999999997
11,500,1.4559924838038054,1.3934457,1.8000785000000006
12,500,1.4165953970819094,1.3195809999999994,2.9031347000000007
13,500,1.332314382763202,2.2102904999999993,2.3519691
14,500,1.3484000712031503,2.2306603999999997,2.522124
15,500,1.4106489670949607,2.014718200000001,2.4397833
16,500,1.4905593627216047,1.7108302000000002,2.005291100000001
17,500,1.3327092973756647,1.3986231,1.9401668
18,500,1.2734362373824824,1.327153299999999,1.9431376999999994
19,500,1.3846942117173324,1.3358942000000003,1.7283162999999995
20,500,1.3408781858469674,1.4395267,1.9297095000000013
21,500,1.4452540151328952,1.4178150999999986,1.683141899999999
1,1000,1.1843200981871915,1.354736299999999,2.4023572999999985
2,1000,1.161461995478776,1.3562424999999987,2.2245049000000012
3,1000,1.1461650959807452,1.4513270999999985,2.3459139999999987
4,1000,1.1545780352422959,1.5277119,1.8271495999999985
5,1000,1.1425103705423039,1.3644357000000014,2.2391600999999994
6,1000,1.1432214177760045,1.3096668000000022,2.0237494
7,1000,1.1484136665136635,1.439389700000003,1.795657900000002
8,1000,1.1816944603233674,1.800482800000001,4.092106300000001
9,1000,1.1336486958452678,2.0955232000000024,3.489825100000001
10,1000,1.132200365261559,2.007652799999999,3.1347561000000006
11,1000,1.19434307279252,2.0832455000000003,2.8115416000000018
12,1000,1.165540490264926,1.5632660999999999,2.9744172000000013
13,1000,1.20934297322138,1.6316758,3.0342272
14,1000,1.1867247796272062,1.6878482000000012,3.5397813000000014
15,1000,1.1721304704018694,1.6062302000000024,3.503434500000001
16,1000,1.144194939117974,1.7558957,2.4668111999999986
17,1000,1.1426553842452687,1.6567350000000012,2.131252700000001
18,1000,1.1810620549557669,1.6072366000000002,2.5890989999999974
19,1000,1.1631175037660206,1.6243517999999995,2.6033764999999995
20,1000,1.1430677591435696,1.417094500000001,1.897924500000002
21,1000,1.167961348719592,1.3885749000000018,2.0244259000000007
1,1500,1.1155773835598586,1.1323024000000004,6.806706400000003
2,1500,1.1125459683968844,1.1013757999999996,5.4778499000000025
3,1500,1.123395336362234,1.5895761999999962,3.7037420999999995
4,1500,1.0955524802836658,1.6226613000000043,6.1715507000000045
5,1500,1.1067783464085377,1.5311400000000006,3.857648400000002
6,1500,1.130098749562449,1.3154964999999947,8.7361121
7,1500,1.0941850734226153,1.690958699999996,6.111405699999999
8,1500,1.0904041139391256,1.751252099999995,4.509036399999999
9,1500,1.1305655824352403,1.4966396000000017,4.597204300000001
10,1500,1.0783923694247044,1.3999099000000044,3.273282100000003
11,1500,1.1079111267246928,1.476559199999997,3.5068127999999987
12,1500,1.0980712088393447,1.3310245999999992,5.0926734000000025
13,1500,1.140805243966726,1.271212399999996,3.042886799999998
14,1500,1.095380838002797,1.239404300000004,3.5739796000000013
15,1500,1.0774441337538363,1.4287245000000013,3.2326328999999987
16,1500,1.0834681460566087,1.1720365999999984,2.6468135000000004
17,1500,1.1268803603981847,1.2622603000000012,3.4988679000000005
18,1500,1.1133350262686574,1.2206811999999942,5.0925248
19,1500,1.1173746367851023,1.2639831999999984,4.9204024999999945
20,1500,1.14513265670619,1.1634884999999997,2.8488478000000015
21,1500,1.1001563937361754,1.4526360999999994,4.505255200000001
1,2000,1.0796851528751819,1.340102199999997,3.877679999999998
2,2000,1.0766756991574966,1.2336439999999982,3.9538498000000004
3,2000,1.0803984081263167,1.4045746999999977,5.766655099999994
4,2000,1.1126202144733166,1.338773400000001,7.571567199999997
5,2000,1.0763442593331938,1.3565844000000027,7.603225800000004
6,2000,1.0613676633265365,1.3159238999999943,4.021018799999993
7,2000,1.0761503250815319,1.4331763000000066,4.862081500000009
8,2000,1.0772996951571163,1.276295300000001,5.043063500000002
9,2000,1.0841692808420655,1.2463306000000074,4.149918200000002
10,2000,1.1010285487122045,1.4209364999999963,7.412765100000001
11,2000,1.092400167194033,1.287676200000007,4.010463000000001
12,2000,1.099751168267083,1.3004650999999967,6.658215499999997
13,2000,1.0685411156559388,1.3626521000000054,4.1142229000000015
14,2000,1.0961380078169076,1.1875750999999894,8.202506199999988
15,2000,1.0977869750099332,1.3648494000000113,5.264449200000001
16,2000,1.1073959630285954,1.3881317999999965,5.349871699999994
17,2000,1.0682233438992113,1.3425404000000043,3.8852698999999973
18,2000,1.066777558784227,1.351539399999993,4.013628799999992
19,2000,1.06347778668188,1.2989009000000067,2.0450117999999975
20,2000,1.0669613581361204,1.0290772999999973,3.2072524999999956
21,2000,1.0741221948353397,1.2040081999999899,3.4953191999999973
1,2500,1.051470618479958,1.3262169999999998,4.373157800000001
2,2500,1.0524664350202393,1.2690523999999925,3.659519599999996
3,2500,1.0690159738950593,1.2169296000000003,6.327912699999999
4,2500,1.061994636524754,1.2029191000000026,6.999346400000007
5,2500,1.0814593767964458,1.5156069000000087,6.657790700000007
6,2500,1.0538923545238974,1.3542578999999932,5.939795399999994
7,2500,1.068478149172188,1.495850400000009,7.146566800000002
8,2500,1.0570766382744412,1.3869727000000012,3.665730499999995
9,2500,1.0800256154698755,1.447009400000013,4.839877700000002
10,2500,1.0600672500266708,1.255759800000007,4.161066700000006
11,2500,1.0690492645151923,1.310786400000012,4.3011021000000085
12,2500,1.0567276876362564,1.3401065999999986,2.235871700000004
13,2500,1.0679871111570096,1.1891868000000017,4.501735799999992
14,2500,1.065902192516957,1.2089672000000036,7.339025899999996
15,2500,1.063654393444522,1.3904787000000027,12.326902000000004
16,2500,1.0747182979392929,1.379819900000001,5.767237600000001
17,2500,1.078330787009385,1.3916150000000016,3.142419099999998
18,2500,1.063738422256744,1.3759735999999947,4.594719799999993
19,2500,1.0746350084054803,1.3792082000000079,6.241206300000002
20,2500,1.056771540073889,1.2525961999999993,5.122214499999998
21,2500,1.0724159992176021,1.4427496999999931,5.150753499999993
1,3000,1.060797772089819,1.2947630999999973,9.021721599999992
2,3000,1.0590843364730318,1.2974312000000054,7.1071177999999975
3,3000,1.0643264789606357,1.2008301999999986,8.18738909999999
4,3000,1.048959826575338,1.4338611999999955,7.520262599999995
5,3000,1.0631482832614405,1.453873900000005,4.101608500000012
6,3000,1.04862718065672,1.2225518999999991,7.3935015000000135
7,3000,1.0534366302289377,1.3394532999999882,3.1956193999999982
8,3000,1.046515293582649,1.3179059000000137,4.827472400000019
9,3000,1.0547951676205782,1.2153439999999875,6.048072999999988
10,3000,1.0530641624326618,1.2141875000000084,3.9056511
11,3000,1.0411011905240408,1.240920100000011,6.214059500000019
12,3000,1.0627950380948945,1.2302315000000021,5.683407100000011
13,3000,1.0633531162144323,1.1799849999999878,3.731932400000005
14,3000,1.0578061772450593,1.420750499999997,5.209746599999988
15,3000,1.0508870382304407,1.4462388000000033,5.447825899999998
16,3000,1.06199099886285,1.4218025000000125,3.4613674000000003
17,3000,1.0533639086325461,1.32303619999999,5.614372000000003
18,3000,1.0533267736822154,1.2682757999999978,5.422839699999997
19,3000,1.0510804301866699,1.4018356999999924,6.06016249999999
20,3000,1.0515393624042102,1.3767893000000129,2.685665400000005
21,3000,1.0623203282701095,1.4526544999999942,6.617627699999986
1,3500,1.0509822202229164,1.3545859000000178,8.00629170000002
2,3500,1.052027735542728,1.3561659000000077,11.013777799999986
3,3500,1.040293358071093,1.4723122000000046,3.585488599999991
4,3500,1.034986714766501,1.4143311999999924,6.210654500000004
5,3500,1.0529402861868,1.4106472999999937,9.581527599999987
6,3500,1.049109561980159,1.389428400000014,5.229952800000007
7,3500,1.045501855157575,1.5476626999999894,6.210721099999972
8,3500,1.038690727739731,1.4058919000000003,5.763943800000021
9,3500,1.0541560155118106,1.4492037000000266,9.997824000000008
10,3500,1.0454144206523592,1.4721897000000013,3.8558625000000006
11,3500,1.037755337674751,1.597582999999986,5.216589699999986
12,3500,1.05064307293272,1.4259511000000202,16.899355900000018
13,3500,1.0400294160172694,1.598018599999989,6.437802299999987
14,3500,1.0401866889397273,1.4717927000000088,7.567367300000001
15,3500,1.035716390047761,1.4203177000000267,10.367292200000009
16,3500,1.03677783552122,1.484828499999992,7.198570399999994
17,3500,1.046079886661531,1.5846726999999987,3.812427299999996
18,3500,1.0451734871325702,1.440538900000007,6.752463599999999
19,3500,1.0446546621929813,1.1082811999999933,5.013206099999991
20,3500,1.0413494336088922,1.1120201999999892,3.529701700000004
21,3500,1.0394697328055031,1.1810273999999765,4.36526409999999
1,4000,1.0466247570204597,1.5166193000000021,5.467070800000016
2,4000,1.0524249227576636,1.4237890999999934,7.347209700000008
3,4000,1.05152836517941,1.3197758999999962,8.262610100000018
4,4000,1.0269258981990808,1.4175831999999957,8.67753429999999
5,4000,1.0413707774212655,1.468642299999999,10.183493900000002
6,4000,1.035852466632288,1.5412283999999943,3.6695674000000054
7,4000,1.0344214319676208,1.4056699999999864,8.589413199999996
8,4000,1.0374426737741846,1.3142417999999907,21.625354299999998
9,4000,1.0469891992487537,1.3874106999999753,7.572559399999989
