run,size,ratio,sampling_time_s,total_time_s
1,2000,1.0107978310609467,6.143856600000001,6.818527700000001
2,2000,1.0164290632187696,5.2156485,6.0399104999999995
3,2000,1.013937844599002,5.9780840999999985,6.545280999999999
4,2000,1.0061657208202512,5.7074357,6.3965043
5,2000,1.0004303845481797,5.101609399999999,5.4096028
6,2000,1.0057500139286966,5.000515399999999,5.440374199999999
7,2000,1.009904768813086,4.989448299999999,5.900561699999999
8,2000,1.0050757549441136,5.0957186,5.751360699999999
9,2000,1.014039161942415,4.9006042999999995,5.259943699999999
10,2000,1.0052904992077805,4.933111799999999,5.3676476000000015
11,2000,1.0173847287914932,4.966129199999999,5.166579999999998
12,2000,1.004265763170073,4.823626400000002,5.059439000000001
13,2000,1.0262416838551898,6.042366300000001,6.595564500000002
14,2000,1.0170210612699904,6.162168699999999,6.914237100000001
15,2000,1.034736854424599,5.8787992,6.388109499999999
16,2000,1.0093961698134186,5.893682699999999,6.231057
17,2000,1.01865797932885,4.5725239,4.780131700000002
18,2000,0.9998379096687671,4.8284156,5.908777800000003
19,2000,1.0025529079038102,4.826791700000001,5.3741901
20,2000,1.0061510068353963,4.728173199999997,4.952223700000001
21,2000,1.0099428310163594,5.352750600000004,5.507317400000002
1,3000,1.0042898835327303,5.271660099999998,8.057872199999998
2,3000,1.00155812356934,5.378869999999999,8.1459197
3,3000,1.0103368110858613,5.3442560999999955,7.494507399999996
4,3000,1.0046341606877067,5.7589994,7.871954600000002
5,3000,1.0098294106804062,5.967908600000001,8.158513800000001
6,3000,1.011613425275411,6.0785173000000015,9.922407
7,3000,1.0029516171260042,6.191403899999997,7.558471900000001
8,3000,1.0144043516645096,5.636901299999998,7.620907199999998
9,3000,1.0030707636758673,5.202370099999996,6.634616599999994
10,3000,1.0047333932073832,5.146385199999997,6.341846599999997
11,3000,1.0192207674018054,5.100809499999997,5.6976860999999985
12,3000,1.0021187889012795,5.279829699999993,7.4108903999999995
13,3000,1.0089854489153387,5.563773099999999,8.393406999999996
14,3000,1.0023428770775114,5.518129699999996,6.529012299999998
15,3000,0.998339091712256,5.615454999999997,8.129379299999997
16,3000,1.003290510036289,5.420941000000006,7.1059933000000015
17,3000,1.033928593365811,5.157408399999994,7.718025699999998
18,3000,1.0374759932457114,5.1934128999999984,6.079102000000006
19,3000,1.0016973610052127,5.28125,6.080516900000006
20,3000,1.0078914582415444,5.004257100000004,6.234867300000005
21,3000,1.0055468303775041,4.966401200000007,8.156093299999995
1,4000,1.001092121456541,5.0343196999999975,8.180109299999998
2,4000,1.0050894365279548,5.11590120000001,8.070733600000011
3,4000,1.0175378446423193,5.871677599999998,7.813463099999993
4,4000,1.0031544411680524,5.648063499999992,8.939530399999995
5,4000,1.0074908618218739,5.559334399999997,8.510294899999991
6,4000,0.9980959239776221,5.614452700000001,8.633716199999995
7,4000,1.007403248903413,5.861113499999988,7.464067299999996
8,4000,0.9978532098934214,5.291640400000006,7.820651000000012
9,4000,1.0015094519895928,5.413210300000003,8.866247600000008
10,4000,1.0128554187054661,5.5439156999999994,8.644287300000002
11,4000,0.9990770551445511,5.464093399999996,8.487095199999999
12,4000,1.0030563511472301,5.430832500000008,10.032649200000009
13,4000,1.001526171216828,5.5357506,10.61809790000001
14,4000,1.0038013031120032,5.5274261,9.525999900000002
15,4000,1.0086122573776584,6.328787900000009,8.652084700000003
16,4000,0.9981690608091246,6.2316074000000015,8.750885999999994
17,4000,1.000720275834765,5.829490199999995,11.105216299999995
18,4000,1.0034993589075754,6.090800399999992,9.546760899999995
19,4000,1.0127156327322502,6.069491599999992,8.306282999999993
20,4000,1.0007084926341328,5.074426800000012,8.644197500000004
21,4000,1.0046812902529811,4.8490844000000095,5.98499120000001
1,5000,1.0037167528601154,4.8509341999999975,8.120001399999992
2,5000,1.0062757403501386,4.84814759999999,6.5788505999999956
3,5000,0.9997083427089126,5.651626500000006,8.63193010000002
4,5000,1.000642039365747,5.478093299999983,9.6062881
5,5000,1.0019390577024365,5.419596299999995,12.0587041
6,5000,1.0084883400812812,5.691341800000018,8.887893199999993
7,5000,1.0064196949631732,5.980984500000005,8.324457899999999
8,5000,1.0072182063683062,5.414213100000012,8.183975500000003
9,5000,1.0126498556857204,5.4765108,8.966438100000005
10,5000,0.9988931773109659,5.860355599999991,11.203052199999973
11,5000,0.9984294041095181,5.97434389999998,7.42869189999999
12,5000,1.0032665003268446,5.670390300000008,8.548093500000022
13,5000,1.003080618191102,5.689034800000002,7.507929100000013
14,5000,1.0017278332337427,5.548934000000003,7.957022500000022
15,5000,1.0046596322397316,5.479196400000006,8.94942789999999
16,5000,1.001603712325089,5.534848900000014,10.203574400000008
17,5000,1.0012996554961966,5.4468143,8.596245899999985
18,5000,1.0032750567270239,5.5913690000000145,9.97933230000001
19,5000,0.999059759011842,5.3402198,9.621463500000004
20,5000,1.0045732407720447,5.5284762,8.127019000000018
21,5000,1.006545777388462,5.502807799999999,10.045149399999985
1,6000,0.9998621628797558,5.774283100000019,9.613319700000005
2,6000,1.0032196664213622,5.51587219999999,9.262874799999992
3,6000,0.9992210021230081,5.568509199999994,11.322713700000008
4,6000,1.0124522729251828,5.79211810000001,10.518477600000011
5,6000,1.0028375605348898,5.379612199999997,11.600691300000022
6,6000,1.0007193508412189,5.4482850999999926,7.668592599999982
7,6000,1.0081762566682662,5.8374515000000144,9.175507100000004
8,6000,1.0029367619055505,5.688716999999997,9.825992900000017
9,6000,1.0060766537189976,5.22326910000001,13.697708200000022
10,6000,1.0030960456238582,5.864685399999985,8.489888199999996
11,6000,1.004005986556894,6.06247110000001,10.131739899999985
12,6000,1.003174744828423,5.463569199999995,9.942657999999994
13,6000,1.0058363009789857,5.199292700000001,6.853273900000005
14,6000,1.0092101023785738,5.0209442999999965,9.736562200000009
15,6000,1.001786491048135,4.889602300000007,10.3857754
16,6000,1.0028999662810263,5.2509694999999965,8.264383100000003
17,6000,1.0034199561235364,5.260615000000001,9.806421799999981
18,6000,1.000565442365089,5.0791021,8.407536000000022
19,6000,1.0067183240026543,4.806670699999984,10.543508500000002
20,6000,1.0044247042558476,5.168048999999996,7.914681800000011
21,6000,1.0063515392523281,6.140596099999982,7.7068406999999866
1,7000,0.9986731514902856,6.265842300000003,16.926972000000006
2,7000,1.0006301530214574,5.920540799999998,12.275503299999997
3,7000,1.0094045815421453,5.637433399999992,10.425443400000006
4,7000,1.0106222110296337,5.584473799999984,13.207755599999984
5,7000,1.0010830690092456,5.577598300000005,9.233104300000008
6,7000,1.005810641591873,5.577881200000007,11.631484200000017
7,7000,1.0027056097933336,4.981463999999988,8.560054999999977
8,7000,1.0012052563251013,5.009408100000002,10.290910699999984
9,7000,1.0029139822554876,5.253479300000009,7.510720700000007
10,7000,0.9984569859713044,5.089819199999994,8.863199699999996
11,7000,1.0060154054746906,4.904602699999998,9.112123099999991
12,7000,1.0094508314955275,4.945841700000017,8.865745400000009
13,7000,1.0086479672727307,5.140959299999992,7.545310199999989
14,7000,1.0004620134159052,4.877741200000003,8.034874699999989
15,7000,1.0060349808297764,4.796023900000023,9.512154399999986
16,7000,1.0038001955726643,4.8807863000000395,9.687904599999996
17,7000,1.0010810431864743,5.059643200000039,8.447283000000027
18,7000,1.0046482779739105,5.0494800999999825,9.520737499999996
19,7000,0.9992584271166195,4.961562000000015,8.31053270000001
20,7000,1.0070296245128747,4.793417300000044,7.10748540000003
21,7000,1.0089684899455371,5.11688730000003,6.92048520000003
1,8000,0.9988749927849077,4.624815500000011,11.610725800000012
2,8000,0.9999643967494255,4.869402800000046,11.240128000000027
3,8000,0.9992491962486022,5.089760400000046,12.266658600000028
4,8000,1.005294275946591,4.980689499999983,11.137509800000032
5,8000,1.0000404184388987,4.806921100000011,15.30126869999998
6,8000,1.0014600475195983,4.771274800000015,12.3835148
7,8000,1.0041892948133024,5.017858799999999,10.296756800000026
8,8000,1.0089596556239449,4.957680399999958,10.459729699999968
9,8000,1.002839097998391,5.284147099999984,11.782781599999964
10,8000,1.0028902170648155,5.019792900000027,8.554903300000035
11,8000,0.9994166359430795,5.179646200000036,7.322849200000007
12,8000,1.0041167866123712,5.24898730000001,9.319383399999992
13,8000,1.0033216996486372,5.13932490000002,8.330230200000017
14,8000,1.001346229338704,5.039294699999971,12.532825500000001
15,8000,0.9997085201679441,5.108640000000037,10.950819300000035
16,8000,1.0006335890348208,5.649889400000006,12.062081800000044
17,8000,1.0036805302114764,6.353471000000013,10.325996999999973
18,8000,1.0028342997794886,4.95025609999999,9.616840800000034
19,8000,0.9989527203390788,5.1369927000000075,12.03128190000001
20,8000,0.9989552195375081,5.05096930000002,10.637362800000005
21,8000,1.0062446303554708,5.261848299999997,8.951441999999986
1,9000,1.0025687944172417,5.184524100000033,7.7820125000000075
2,9000,0.9997218679278506,4.941641000000004,8.672820099999967
3,9000,1.0004821690691137,5.072369899999956,10.753829399999972
4,9000,1.002679844150847,5.096676500000001,13.279380800000013
5,9000,1.0019240479528722,5.403046600000039,12.123618700000009
6,9000,1.0037297175669988,5.3240710000000036,9.725183300000026
7,9000,1.0051382789534806,5.36436759999998,9.042989699999964
8,9000,0.999015212439986,5.111952200000019,13.120221000000015
9,9000,1.0061653646242783,5.19872399999997,12.045893999999976
10,9000,1.0013825714339444,5.168849200000011,12.032324700000004
