run,size,ratio,sampling_time_s,total_time_s
1,10000,1.0238541831115173,1.7679789000000001,4.9572178
2,10000,1.054236092991266,1.7034524999999998,4.7094145
3,10000,1.0387025648470785,1.7849677999999998,4.958270799999999
4,10000,1.1387729208825739,1.7326127,3.2986820999999997
5,10000,1.0668515549685014,1.1543983999999998,3.7001420000000005
6,10000,1.0544547004314513,1.0356819999999995,3.5662160999999992
7,10000,1.0225433212945045,0.9802454999999997,4.7005753
8,10000,1.094161038518196,1.0409660999999995,2.704826999999999
9,10000,1.1409606333135904,1.1287884000000012,1.813690600000001
10,10000,1.049630568935656,1.1223521000000005,3.9735248
11,10000,1.1167659697661871,1.0790632000000002,2.1768537000000006
12,10000,1.0422532779618245,1.1429235999999996,3.2287747000000007
13,10000,1.0652167502776642,1.1761105999999995,3.8095181
14,10000,1.1323897898329258,1.0956992000000003,2.1614985000000004
15,10000,1.0527718447168546,1.1248965999999996,2.2469024000000015
16,10000,1.1186017365716932,1.0480983999999989,2.123400499999999
17,10000,1.072226883516421,1.0570600999999993,3.9938616000000007
18,10000,1.1303313477496,1.0638847999999985,2.2647986999999983
19,10000,1.035417422324837,1.0675285999999993,4.845155500000001
20,10000,1.0541279653534334,1.0641353000000002,3.577829900000001
21,10000,1.0373882471669402,1.171713099999998,3.5110205999999984
1,11000,1.1180597144620164,1.0586149999999996,2.4156625
2,11000,1.4370823473423773,1.1288276999999987,1.4452220999999987
3,11000,1.029763212066176,1.0609286000000004,4.645884000000002
4,11000,1.0622172190623593,0.9184473000000004,3.3284640000000003
5,11000,1.0252437133899157,0.9841936000000011,4.1926431000000015
6,11000,1.0294619824252897,0.9785350999999984,4.265798799999999
7,11000,1.131411308310482,1.1842737999999997,2.453155800000001
8,11000,1.0233072391562539,1.072754800000002,5.397470900000002
9,11000,1.075704662109679,1.0872181000000012,4.5331531
10,11000,1.0286963338279789,1.124485,4.4059828
11,11000,1.0300842619971693,1.3062216000000006,4.493559000000001
12,11000,1.0389077852703725,1.4968663000000042,5.730373199999999
13,11000,1.075846447503537,1.552928699999999,3.3861719999999984
14,11000,1.0241080013194581,1.362603,5.089852700000002
15,11000,1.1267366295303074,1.1761497999999975,3.2426914999999994
16,11000,1.1205324880433765,1.4799853000000027,3.0311286000000024
17,11000,1.0324491551872146,1.2951559999999986,6.314309299999998
18,11000,1.0320557506729646,1.2553432999999998,5.286539499999996
19,11000,1.0209257363830617,1.2352392999999964,5.124842899999997
20,11000,1.020999543607337,1.1665238000000002,4.530973100000004
21,11000,1.0255341965917513,0.9782910999999999,5.242110000000004
1,12000,1.0529515391563196,0.9993102999999977,4.2828778999999955
2,12000,1.0916531137356877,0.9209692000000018,4.739185599999999
3,12000,1.133825504969165,0.8907042999999959,2.6236101000000005
4,12000,1.0206117378538369,1.3512494000000004,4.388948199999994
5,12000,1.0233463880853348,1.2713510999999968,5.641547199999998
6,12000,1.0198723432761647,1.0571960999999988,4.651631999999999
7,12000,1.1106660456870308,1.0321119000000039,2.791407200000002
8,12000,1.1296690008910162,1.2425369999999987,2.5681809000000015
9,12000,1.044764061197351,1.293417600000005,3.8619150000000033
10,12000,1.0879310311620882,1.1442993000000001,3.1538274999999985
11,12000,1.025504578974384,1.0393217999999962,4.872265900000002
12,12000,1.0504764768142705,1.0063153000000042,4.210718700000001
13,12000,1.120395956965944,1.1294092000000049,3.3409686000000036
14,12000,1.0270864572573886,1.1037259000000006,3.9958620999999965
15,12000,1.0209875368783508,1.0324050999999983,5.717593399999998
16,12000,1.1119740374921936,1.065140900000003,2.903035100000004
17,12000,1.0436173024613167,1.0530649999999966,4.234836899999998
18,12000,1.0227074418946547,1.2825742999999932,4.487547899999996
19,12000,1.012787548103216,1.3177258999999992,5.748190699999995
20,12000,1.0813771483023524,1.542119900000003,3.6437992999999977
21,12000,1.0222958169867449,1.4183000999999962,5.336225900000002
1,13000,1.0382471718624,1.440776999999997,5.301239999999993
2,13000,1.0128522990305864,1.4696260999999993,6.0296156
3,13000,1.0387163566781057,1.442367400000009,4.774932500000006
4,13000,1.1175015193858826,1.3615884000000023,2.7382034000000033
5,13000,1.0237176056356965,1.6962464000000068,6.42892040000001
6,13000,1.0300575587770187,1.3558781000000124,5.334241800000001
7,13000,1.0322991381517568,1.342004700000004,5.318659199999999
8,13000,1.0452509936960679,1.2828294000000113,5.082158800000002
9,13000,1.0781069213610093,1.2830816999999968,4.647581500000001
10,13000,1.0287710718387926,1.1885393000000022,5.7561356000000075
11,13000,1.0133010259569424,1.1554907999999955,5.489579599999999
12,13000,1.0704288993346036,1.3023249000000021,4.2336712999999975
13,13000,1.0277688260786375,1.2939965000000058,4.350788699999995
14,13000,1.1342354951783156,1.2021203999999983,2.920310299999997
15,13000,1.1331932986150033,1.1393225000000058,2.459580299999999
16,13000,1.0179306250892388,1.1507308000000052,5.6231427999999966
17,13000,1.0169320262845436,1.281577200000001,7.9659724000000125
18,13000,1.1132894234615813,1.2546495999999934,3.213096699999994
19,13000,1.0228242316618859,1.35031570000001,5.398591100000004
20,13000,1.0325444318172674,1.126081499999998,5.717771099999993
21,13000,1.0377005491703888,1.0900000999999975,8.515222999999992
1,14000,1.0233764570353163,1.2375775999999945,8.001571099999992
2,14000,1.0275329529381216,1.805813399999991,7.460891899999993
3,14000,1.0281499463359278,1.962124700000004,8.397768900000003
4,14000,1.0924254091216499,1.9199322999999993,4.915972200000013
5,14000,1.1281246339967028,1.6255400000000009,3.102912200000006
6,14000,1.1308016541639787,1.8606328000000047,3.1043301999999926
7,14000,1.0304367974238609,1.6190124000000026,8.589770000000001
8,14000,1.0185306677775574,1.5844065999999941,8.085266199999992
9,14000,1.0342235597421783,1.5618216999999959,7.324579700000001
10,14000,1.0590603532999943,1.8896447999999992,6.192077600000005
11,14000,1.028683211256136,1.3021473000000015,6.815776999999997
12,14000,1.0199205183371285,1.252227899999994,7.738119999999995
13,14000,1.0353666129695633,1.2160827999999952,7.412047399999992
14,14000,1.0262455373031503,1.255010800000008,7.575425699999997
15,14000,1.0222959765966184,1.584309300000001,8.34711279999999
16,14000,1.0304324106433922,1.3368612999999954,6.406803199999999
17,14000,1.1211459664706434,1.3658321999999998,4.020820900000004
18,14000,1.0275436448158002,1.3605557000000061,5.892317700000007
19,14000,1.026597688796168,1.6129657000000037,7.0856648000000035
20,14000,1.1631515611535668,1.5639498000000032,3.207626100000013
21,14000,1.110311353502841,1.4944863999999995,4.043368599999994
1,15000,1.0393515922524421,1.5535275000000013,6.906401899999992
2,15000,1.0201314409829014,1.9427263000000181,9.921455600000016
3,15000,1.0570139770558622,1.7646596999999815,6.299183099999993
4,15000,1.0132540268263932,1.788168799999994,7.169659899999999
5,15000,1.060583814831691,1.879294200000004,5.604885600000017
6,15000,1.0676875289192111,1.7190271000000052,5.449184500000001
7,15000,1.1302044967450362,1.6149918999999784,3.7915617999999824
8,15000,1.013991103657319,1.5637814000000105,8.086702200000019
9,15000,1.0240162993736566,1.4797307999999987,7.3054711999999995
10,15000,1.1150786885916082,1.536703999999986,4.907493600000009
11,15000,1.013864420136403,1.4936426000000154,9.84981830000001
12,15000,1.0458214042858618,1.5795656000000236,9.357982000000021
13,15000,1.0323756286966888,1.5950923000000046,8.385600199999999
14,15000,1.0324144981572965,1.4839381000000174,6.409240900000015
15,15000,1.0154992222663048,1.7665053999999998,9.283152099999995
16,15000,1.0250351849838268,1.8057751000000053,7.253550500000017
17,15000,1.0309944538743314,1.6842531000000065,5.6367999
18,15000,1.1176835799661087,1.4298167000000035,4.292458699999997
19,15000,1.0463307912765145,1.2358725999999933,5.783628199999981
20,15000,1.0255950332165906,1.2174568000000079,9.292496999999997
21,15000,1.096799358656806,1.1453889000000004,4.992110700000012
1,16000,1.0153796142930611,1.1790841000000114,10.48043229999999
2,16000,1.016612036082904,1.4053919000000121,8.016995500000007
3,16000,1.0181460778078386,1.3660502000000179,5.635697100000016
4,16000,1.1077579418960795,1.3869381999999746,4.897523199999995
5,16000,1.0189660567988674,1.2884819999999877,7.984821100000005
6,16000,1.140306663851035,1.2237484999999992,2.844456000000008
7,16000,1.0466157419084439,1.2360949000000119,5.027009800000002
8,16000,1.0398231657219936,1.0441581999999983,4.804763600000001
9,16000,1.107887771437763,1.1015703999999857,3.1762715999999784
10,16000,1.0307909320089788,1.1846114999999884,8.021931300000006
11,16000,1.0384663857742709,1.0914349000000243,5.191401500000012
12,16000,1.0273838838063842,1.090047200000015,6.750951700000002
13,16000,1.0314731601289577,1.2084437999999977,8.151211200000006
14,16000,1.0180576813150561,1.3063110999999878,5.810120299999994
15,16000,1.0276035600361688,1.148687499999994,6.9706740000000025
16,16000,1.0588905633073102,1.1454112000000123,4.755371800000006
17,16000,1.0230460774922738,1.426962599999996,5.169148299999989
18,16000,1.021829297620699,1.1437985000000026,6.3799458000000016
19,16000,1.0414126331427074,1.1465931999999839,4.810039399999994
20,16000,1.0311266449603997,1.0934914000000049,5.300492800000001
21,16000,1.0317039955354381,1.0774173000000076,7.311210500000016
1,17000,1.0172378572869725,1.2431005999999911,8.646939700000019
2,17000,1.1521554131949694,1.113358500000004,2.3316283000000055
3,17000,1.0307343003756144,1.2341954999999984,5.844062799999989
4,17000,1.0176250777251228,1.2413218000000086,7.209771700000005
