run,size,ratio,sampling_time_s,total_time_s
1,10000,0.9995533391004988,4.6948069,9.174114
2,10000,1.0030706559489697,4.0853644,8.1729387
3,10000,1.0281749790076384,4.9293903,8.0080461
4,10000,0.9996953682758329,3.948085,8.7472701
5,10000,1.0034213279851016,3.9800226,10.592857600000002
6,10000,0.9986725193897792,4.0363667,10.796963400000001
7,10000,0.9984361855094477,3.9626447000000002,9.9976108
8,10000,0.9998409252906538,4.0844065,9.6184092
9,10000,1.0114625563711703,3.729961999999997,7.5160719
10,10000,1.005449033349457,3.8687240000000003,7.735172199999997
11,10000,1.0053111786079387,4.0366286,8.288007799999999
12,10000,1.0281493324803832,3.998657399999999,7.3525794
13,10000,0.9983290691697794,3.869971200000002,9.822953499999997
14,10000,0.9983261510662138,4.048713800000002,11.346211400000001
15,10000,0.9988791991314986,3.7548214999999985,10.368209499999999
16,10000,0.9999750860998793,3.975761300000002,10.126133099999997
17,10000,0.9987877698703854,4.458984100000002,10.177356099999997
18,10000,1.0030314224196957,4.123139100000003,8.751029699999997
19,10000,0.9998441917295614,4.156562100000002,8.732018599999996
20,10000,0.9996006253015577,4.171994499999997,9.565654599999995
21,10000,0.9998595332630894,3.8037113000000033,8.219739000000004
1,11000,0.9990065543320188,3.7672462000000024,9.767210900000002
2,11000,0.998820514617056,3.859921800000002,10.565593399999997
3,11000,0.9991363791960854,3.9157157,8.889021499999998
4,11000,0.9997747987637824,4.066358299999997,7.525625500000004
5,11000,1.0059887826135934,3.8441509999999965,7.227673600000003
6,11000,0.9998327578673644,3.863685699999998,8.428814699999997
7,11000,1.0020679129925956,3.913916300000004,8.644180799999994
8,11000,1.0078783039861399,4.276553700000008,6.9724529000000075
9,11000,1.0003401048787175,4.259856199999987,6.85455069999999
10,11000,1.1035924654195746,4.666224700000001,5.884872599999994
11,11000,0.9983000982174332,4.854520600000001,12.010359699999995
12,11000,1.00086121993839,5.367489300000003,9.877704800000004
13,11000,1.0067501192464092,5.4149493000000035,9.668810500000006
14,11000,1.0014049670934897,5.409236300000003,10.069739400000003
15,11000,0.9994449974244027,4.584770900000009,7.754761700000003
16,11000,0.9990230957520212,4.693020000000004,9.3689416
17,11000,1.0014809755589686,5.0465633000000025,8.741730500000003
18,11000,0.9990925274886379,5.278644599999993,10.250422
19,11000,1.121620182120287,4.9858519,5.973732800000008
20,11000,0.9994986238596288,5.01945520000001,10.08406740000001
21,11000,1.0371409458724417,4.879601199999996,7.866656599999999
1,12000,0.9999330756370076,4.872368299999991,11.682192599999993
2,12000,1.000494579651764,5.012499300000002,10.961429300000006
3,12000,1.0041170637170103,6.030489100000011,9.3193756
4,12000,1.0044519626399349,5.715496299999998,8.395815899999988
5,12000,1.0025577024226566,4.576261200000005,7.72702790000001
6,12000,1.096237185960825,4.5773729,6.3325597000000045
7,12000,0.9993782520683574,4.222602499999994,8.334935099999996
8,12000,0.998569210448162,4.2312636999999995,10.3374625
9,12000,0.9995790190400221,4.265066500000003,9.84166660000001
10,12000,0.9985522432193991,4.275591800000001,10.1217489
11,12000,0.9988555472584767,4.696651000000003,10.515392599999998
12,12000,0.9985671498540178,4.555630700000009,11.430095800000004
13,12000,1.0000443860489352,4.325600099999988,8.794118499999996
14,12000,1.0229203337266006,4.411348700000005,7.563838600000011
15,12000,1.0011698547132866,4.30576099999999,6.790957300000002
16,12000,1.0978905016471727,4.123090200000007,5.810078300000015
17,12000,1.0000258214889926,4.094444199999998,7.589749399999988
18,12000,1.0005519396689397,4.092665699999998,7.690425900000008
19,12000,1.156356953752382,4.349627400000003,5.617206699999997
