run,size,ratio,sampling_time_s,total_time_s
1,500,1.1550488784634858,4.9756857,5.796829600000001
2,500,1.1659227396614695,4.9699437,5.657317300000001
3,500,1.2021245055949727,4.0694935999999995,5.084829299999999
4,500,1.2082380659256493,4.0129143,4.779701599999999
5,500,1.2142591263417075,4.260648400000001,4.7072647
6,500,1.1813374858769585,4.3283729,4.760360199999999
7,500,1.215250421570311,4.2051634,4.606179900000001
8,500,1.154043840625724,4.4550643,4.825582799999999
9,500,1.1949408106727872,4.4358691,5.069123599999999
10,500,1.1559634188755603,4.1882959,4.6036216
11,500,1.1559453271773967,4.203455999999999,4.709403000000002
12,500,1.1651424173625773,4.2567381,4.632460000000002
13,500,1.1899715110352156,4.133582200000003,4.550179400000001
14,500,1.1849505371178384,4.3016538,4.719174000000002
15,500,1.1894229235942777,4.3004004999999985,4.826399500000001
16,500,1.1615299492086475,4.172341699999997,4.7530152
17,500,1.1745155057380452,4.257999199999997,4.702581900000002
18,500,1.1761707842015097,4.313978500000005,5.006078700000003
19,500,1.2023707141749715,4.143096100000001,4.511531099999999
20,500,1.145033862497424,4.059708700000002,4.467302799999999
21,500,1.1634492876167553,4.3611997,4.841419999999999
1,1000,1.1030928967968214,4.2604703000000015,4.6961477000000045
2,1000,1.1092878998769553,4.1438481,5.263420799999999
3,1000,1.0819540513803223,4.333417200000007,4.849823900000004
4,1000,1.087957836459247,4.194985199999998,5.858682000000002
5,1000,1.1032704659947878,4.122093299999996,5.416322000000001
6,1000,1.08005345655297,4.425183199999999,5.1665469
7,1000,1.07296573555611,4.371483500000004,5.859891400000002
8,1000,1.0781607652445133,4.431797899999999,5.213798400000002
9,1000,1.0831091215761526,4.474274000000001,5.592601000000002
10,1000,1.0878893775895522,4.243924200000002,5.953235400000004
11,1000,1.065822784666068,4.440882199999997,5.656475299999997
12,1000,1.0684664873614358,4.601427700000002,5.207393699999997
13,1000,1.0965670669157859,4.463896599999991,5.581498500000002
14,1000,1.1124171213689593,4.3887809000000075,5.487556700000006
15,1000,1.0796019852901197,4.40410030000001,6.247279800000001
16,1000,1.0743894442214124,4.118372900000011,5.388614900000007
17,1000,1.077354075222295,4.242777699999991,5.183379699999989
18,1000,1.056672498092454,4.358629300000004,5.0882806999999985
19,1000,1.0991426616195612,4.198502600000012,5.011605900000006
20,1000,1.1088897561537379,4.233706799999993,5.952153100000004
21,1000,1.0566680086631948,4.396843599999997,5.432380099999989
1,1500,1.051191178430479,4.123412899999991,7.883276499999994
2,1500,1.051553983876314,4.564722200000006,9.380761800000002
3,1500,1.0507072155827972,4.543933600000003,7.029089400000004
4,1500,1.0446353523348497,4.445102000000006,8.567006000000006
5,1500,1.0562417504753234,4.509900999999999,8.754688600000009
6,1500,1.0566233165290835,4.761758100000009,8.254838800000002
7,1500,1.0538718662001572,4.5621638000000075,7.106964900000008
8,1500,1.0581890981852036,4.453857999999997,6.834067300000001
9,1500,1.0572945679990289,4.785838500000011,6.6421715000000034
10,1500,1.0839563519048414,4.477463600000007,8.543456500000005
11,1500,1.0523038586795819,4.533507099999994,5.547605099999998
12,1500,1.051554232713594,4.903580500000004,7.7788718000000046
13,1500,1.0519127542887987,4.526397000000003,9.354673599999998
14,1500,1.0651669231723884,4.355130099999997,7.475577399999992
15,1500,1.0680183628702913,4.609167800000009,7.354642600000005
16,1500,1.0405287282704532,4.194545199999993,8.458320200000003
17,1500,1.0362673595832106,4.4879988,10.505570700000007
18,1500,1.0540961546618177,4.467823500000009,9.084786199999996
19,1500,1.045490937328732,4.402980200000002,6.72982189999999
20,1500,1.041517601151588,4.2977048000000195,9.979243499999995
