run,size,ratio,sampling_time_s,total_time_s
1,10000,1.0464843707013005,7.688994600000001,9.9898176
2,10000,1.0575681236054792,8.0783557,10.0718363
3,10000,1.0532355732542023,8.6000583,10.1993915
4,10000,1.0803514510347392,7.888268399999999,10.0509005
5,10000,1.1627940689789682,8.249812200000001,11.260031300000001
6,10000,1.038667050684119,8.138632999999999,10.590658600000001
7,10000,1.0746481917578974,8.7030652,11.071786900000001
8,10000,1.1410479243843565,8.3038337,11.3701144
9,10000,1.0587724696165686,9.023412,10.955236699999997
10,10000,1.0359142082537998,9.193653700000002,11.4205352
11,10000,1.0917300272636792,9.034131899999998,10.996893300000004
12,10000,1.0151744888663912,9.1617356,11.013764899999998
13,10000,1.068927101252649,8.975974100000002,11.221388500000003
14,10000,1.070888237051468,8.879369600000004,10.8218271
15,10000,1.0746856711513009,9.322617799999996,12.162510599999997
16,10000,1.0359762955405076,8.916321500000002,11.902976800000005
17,10000,1.0529092797152286,9.1374322,10.718463
18,10000,1.0801164514047534,9.196348399999998,10.620736700000002
19,10000,1.2845706053867065,9.249737799999998,12.0366171
20,10000,1.0804637409923936,9.374318700000003,11.382238700000002
21,10000,1.088570571743109,8.801232200000001,10.479700899999997
1,11000,1.1073693774470337,8.74630179999999,10.212149599999996
2,11000,1.0639622244982987,8.983580800000006,11.394293800000007
3,11000,1.0550807461861094,8.833966100000005,10.201164299999995
4,11000,1.0777304310212927,9.740034499999993,12.742421799999988
5,11000,1.1170452354682494,9.625815200000005,12.259206800000001
6,11000,1.3362171517563128,10.105585599999998,12.883983299999997
7,11000,1.09747974529021,10.100959000000003,13.127104899999992
8,11000,1.1427208858378424,9.645509100000012,11.7115905
9,11000,1.081001426713805,9.646566699999994,12.871053099999997
10,11000,1.07299229017768,10.275090800000001,12.084676300000012
11,11000,1.0494061063179172,10.376851899999991,12.215795799999995
12,11000,1.0439694461938516,9.8076602,11.669595500000014
13,11000,1.087467811423271,9.944754099999997,12.190361199999998
14,11000,1.070823382037176,9.992386999999994,12.836256800000001
15,11000,1.1746657652505141,10.398794100000003,14.400299199999992
16,11000,1.1212118993001787,13.719918500000006,16.6477177
17,11000,1.0870032929907505,14.00682110000001,17.06956360000001
18,11000,1.3132711000695823,13.02427999999999,15.947681700000004
19,11000,1.2538527179397598,12.878949700000007,15.846455000000006
20,11000,1.0482136073015902,10.4874327,12.602970099999993
21,11000,1.2172493892981306,9.82574910000001,13.107250699999994
1,12000,1.0582636563226926,9.458463600000002,11.516889300000017
2,12000,1.3528812670550665,8.780071700000008,11.619057800000007
3,12000,1.055810330386246,8.692069900000007,10.35967690000001
4,12000,1.2625842743402371,8.485051900000002,13.70841949999999
5,12000,1.0929192910181453,8.572124300000013,10.801844400000022
6,12000,1.0438916784743382,8.476443199999977,10.220436299999989
7,12000,1.1309566278739747,8.617081799999994,10.476235500000001
8,12000,1.04945368508727,8.50950370000001,12.218331000000006
9,12000,1.0655529505600314,8.5639252,10.572622500000023
10,12000,1.1107449892169252,8.459265999999985,12.006810000000002
11,12000,1.079765401566733,8.6322562,10.467405200000002
12,12000,1.0694726654887154,8.532916200000017,10.476052600000003
13,12000,1.0953741140885729,8.750111900000007,10.872430699999995
14,12000,1.0454143550447677,8.565900900000003,10.739602599999984
15,12000,1.0859106826856364,8.607053799999989,10.733059499999996
16,12000,1.0488881554621052,8.766526499999998,10.68596310000001
17,12000,1.068719040920717,9.2983567,11.308414999999997
18,12000,1.0397344131071644,9.46248109999999,11.211459500000018
19,12000,1.0645757112592413,9.783825400000012,11.422458000000006
20,12000,1.0804638550750325,9.746311300000002,11.974434799999983
21,12000,1.0740087053050158,9.675185499999998,12.510265899999979
1,13000,1.053359368984705,9.574411900000001,12.207717799999983
2,13000,1.0728556341716229,9.792007000000012,11.895722800000016
3,13000,1.0760885988052133,9.435200699999996,12.499452399999996
4,13000,1.0573572328351222,8.603137599999997,11.321729300000015
5,13000,1.2011432479098043,8.572352100000018,11.517853900000006
6,13000,1.181629433974849,8.606840599999998,10.504286900000011
7,13000,1.046878380132361,8.564503099999996,10.782508399999983
8,13000,1.0569662587710877,8.6462578,11.516316000000018
9,13000,1.0612472867503289,8.539404999999988,10.7474713
10,13000,1.07065422845927,8.580400199999985,11.061647999999991
11,13000,1.0629714706206774,8.798112300000014,11.148017199999998
12,13000,1.08945089284157,8.84162040000001,11.75233080000001
13,13000,1.1927559029992876,8.580491499999994,13.23000429999999
14,13000,1.2050292759341321,8.677677899999992,11.807621399999988
15,13000,1.1259763586663334,8.926133899999996,12.398498499999988
16,13000,1.0823536127335542,8.690743499999996,11.4921425
17,13000,1.0745232587609808,8.916894600000006,11.216532599999994
18,13000,1.0472916997695103,8.827869700000008,11.28962340000001
19,13000,1.0886204243711677,8.589694600000001,10.5389677
20,13000,1.0824140880482929,8.853454299999981,10.870764399999985
21,13000,1.0954781156200653,8.440254600000003,10.673667300000005
1,14000,1.0802247006789227,8.474962099999999,10.995253100000014
2,14000,1.084509275097639,8.229883399999977,10.784644900000018
3,14000,1.0623964960053143,8.367638700000015,11.078834699999987
4,14000,1.0994129384754614,7.944073799999984,11.253046899999987
5,14000,1.082479682569134,8.043778199999991,10.034842800000007
6,14000,1.0946924210551399,7.94840899999997,9.766718799999978
7,14000,1.0582707598657723,7.92816590000001,10.045631000000014
8,14000,1.1575697263696698,7.833297000000016,9.656613100000015
9,14000,1.0496963163492155,7.674561499999982,10.525902999999971
10,14000,1.0627569324184571,7.778425199999958,10.2167685
11,14000,1.1175224039937774,7.8580817999999795,10.685575500000027
12,14000,1.0653314289891966,7.767352100000039,10.11001170000003
13,14000,1.088485458030182,7.725280499999997,9.599537700000042
14,14000,1.0581713923142648,7.7055712000000085,9.526419400000009
15,14000,1.0734180655557455,7.939711000000045,9.647368400000005
16,14000,1.0787800511623429,7.844376000000011,10.113757700000008
17,14000,1.064125323317294,7.757896700000003,9.941896299999996
18,14000,1.067831630157413,7.803348299999982,10.100548199999992
19,14000,1.0923332811610647,7.757962500000019,10.258668199999988
20,14000,1.074681802277596,7.754154299999982,10.522909599999991
21,14000,1.1276380939440682,7.872058900000013,11.379668699999968
1,15000,1.0785226883042756,7.969186900000011,10.554097800000022
2,15000,1.0606891595107235,7.898641699999985,10.503822599999978
3,15000,1.0926683651652762,7.698764100000005,9.907144399999993
4,15000,1.0606682327906145,7.831102699999974,10.199967500000014
5,15000,1.1232197972278615,7.760227299999997,9.230659000000003
6,15000,1.085604530369547,7.8681561000000215,10.365388600000017
7,15000,1.0748729602754432,7.672059400000023,10.104576700000052
8,15000,1.0933982638529114,7.658514700000012,9.84616950000003
9,15000,1.0537967934119405,7.88015519999999,10.53863389999998
10,15000,1.0630679362060083,7.953041299999995,10.312343099999964
11,15000,1.0631484666747724,7.627067199999999,12.062454800000012
12,15000,1.079190190904529,8.125563200000045,11.310902499999997
13,15000,1.1563664504397388,7.997117500000002,10.364305400000035
14,15000,1.0874068573899611,8.116584499999988,10.417115599999988
15,15000,1.0848472569698635,8.149410799999998,10.82029319999998
