run,size,ratio,sampling_time_s,total_time_s
1,10000,3.0759579109248514,2.080122299999857,36.2415574000006
2,10000,125.4734724565662,2.1841399999993882,75.01284419999956
3,10000,15.646415419829465,2.15666180000062,75.43248510000012
4,10000,2.60474056994827,1.694214699999975,7.219920600000478
5,10000,15.991054736894965,1.6808068000000276,35.251020300000164
6,10000,2.928101383894027,1.7835353000000396,19.078756899999462
7,10000,14.99958518435575,1.7278956000000107,30.718243799999982
8,10000,3.4226526625419944,1.6783918000000995,20.04769329999999
9,10000,14.411194515314039,1.740125799999987,26.22652889999972
10,10000,3.57167921190418,1.6814596000003803,73.99357670000063
11,10000,10.548806199111135,1.67299550000007,14.150924300000042
12,10000,48.29169464633178,1.709875500000635,56.236393500000304
13,10000,10.098074769248445,1.6686052000004565,26.173719400000664
14,10000,16.273995081606415,1.6764305999995486,32.4729013999995
15,10000,11.540258299235564,1.668214999999691,12.063362200000483
16,10000,7.379124801940603,1.6566082999997889,16.21786129999964
17,10000,8.336340779864345,1.6323751999998422,10.9644116999998
18,10000,9.854209821308723,1.6483345999995436,17.436557600000015
19,10000,5.679181875954779,1.7355234999995446,10.711949099999401
20,10000,6.909424585103505,1.6653501999999207,14.509540600000037
21,10000,23.093048132312354,1.6771722000003138,28.491216200000054
1,11000,5.391474186296151,1.609534199999871,19.5427894000004
2,11000,3.582732038095101,1.713018600000396,12.372767199999544
3,11000,14.53628540463933,1.6658014999993611,35.314731099999335
4,11000,4.118566351411282,1.742992299999969,19.825837099999262
5,11000,6.134170706717031,1.7716073999999935,16.4945373999999
6,11000,55.05010684662151,1.6820283999995809,62.54842170000029
7,11000,19.25100759437835,1.682839199999762,14.464036500000475
8,11000,4.624021639506189,1.6582164000001285,8.123836300000221
9,11000,9.295167114108786,1.6783890000006068,28.8983173000006
10,11000,2.05069279321061,1.7166238999998313,9.476581900000383
11,11000,37.82885912989199,1.6757076000003508,83.15704319999986
12,11000,13.036633745586997,1.699425799999517,18.207491299999674
13,11000,5.16262906911815,1.710787099999834,14.158937299999707
14,11000,11.937422913279947,1.7460195000003296,82.34799720000046
15,11000,47.52196323187873,1.679326200000105,82.80480679999982
16,11000,3.5773674806544804,1.704135199999655,27.440952999999354
17,11000,2.1437659580835136,1.6936233999995238,20.049115699999675
18,11000,5.206410867957574,1.7060056000000259,50.79764100000011
19,11000,64.90770135762698,1.6522625000006883,40.04156050000074
20,11000,33.117039282726736,1.7372183999996196,28.339468699999998
21,11000,2.0538027975474944,1.6697363000002952,7.5261405000001105
1,12000,7.029196733443631,1.660802700000204,70.76527960000021
2,12000,4.644990368246176,1.6612766999996893,24.01551179999933
3,12000,4.85527141184699,1.6154341000001295,83.10904310000024
4,12000,17.13502554504161,1.7475020000001678,48.40163440000015
5,12000,2.817300874044114,1.7029868999998143,8.202061800000592
6,12000,6.400862588859967,1.719114300000001,13.274452200000269
7,12000,7.4768593285376665,1.7433487999996942,11.405139399999825
8,12000,21.41601319429564,1.65660250000019,90.07732959999976
9,12000,2.955016185117801,1.7361989999999423,7.079395100000511
10,12000,7.543963413518363,1.7444292999998652,34.923014400000284
11,12000,4.035667406367571,1.6684973000001264,11.078329999999369
12,12000,5.657864040657731,1.7331601999994746,29.626603599999726
13,12000,4.512286963255317,1.6752639999995154,24.643940899999507
14,12000,2.928226744697963,1.8230667999996513,16.91028329999972
15,12000,13.171830345092596,1.7565463000000818,91.18694510000023
16,12000,4.346416789738137,1.7610153000005084,27.527063200000157
17,12000,8.435243127619525,1.6824064000002181,14.343502400000034
18,12000,12.283270731155373,1.7108562000003076,22.759114200000113
19,12000,2.789169436753311,1.6999317999998311,20.339987199999996
20,12000,5.403794480582399,1.6678560000000289,26.512132800000472
21,12000,34.74133216006959,1.7139895000000251,41.248139500000434
1,13000,3.065689881823519,1.7468207000001712,19.14419469999939
2,13000,4.814832941480637,1.683398400000442,13.810399099999813
3,13000,3.05601563748891,1.7478828999992402,46.416628500000115
4,13000,3.395793090704557,1.708903000000646,23.62190439999995
5,13000,2.745588096915731,1.7454336000000694,32.48057410000001
6,13000,14.656634707018222,1.737065199999961,21.016424399999778
7,13000,4.838760382094585,1.7419749000000593,28.97463440000047
8,13000,2.9021576087933454,1.7638471000000209,48.513383800000156
9,13000,7.64680840228881,1.6826309999996738,21.93629450000026
10,13000,2.149106210004792,1.7219119999999748,35.97694910000064
11,13000,14.32488386874491,1.7144370000005438,98.65259530000003
12,13000,4.505948292011884,1.7668158999995285,14.02829709999969
13,13000,5.2538976843643415,1.768594199999825,49.821041299999706
14,13000,1.9501836258216685,1.76022439999997,16.831643799999256
15,13000,4.095537032502159,1.7191250999994736,24.33987369999977
16,13000,4.071058613219579,1.7334000000000742,41.67521360000046
17,13000,2.033769902868604,1.7372248000001491,37.19505769999978
18,13000,2.877430168884752,1.7308017000004838,19.321928000000298
19,13000,5.941660034423995,1.7286690999999337,12.11851789999946
20,13000,3.850274873326586,1.6594578000003821,10.171058599999924
21,13000,1.4661198468872223,1.7177110999991783,54.515130099999624
1,14000,8.314807760709334,1.7354108999998061,19.084406599999966
2,14000,2.0593714230664375,1.7615970999995625,32.74062859999958
3,14000,2.8693465198130346,1.7098206999999093,25.131944499999918
4,14000,7.983354000213117,1.752755999999863,21.950213999999505
5,14000,2.151398302817848,1.7268997000001036,10.717411399999946
6,14000,4.522770326292911,1.7433051000007254,34.24467270000059
7,14000,1.9387468219797708,1.6711652000003596,64.07062279999991
8,14000,4.62188658097503,1.7159999999994398,14.756098899999415
9,14000,4.7009143295685165,1.7570251000006465,21.982149800000116
10,14000,2.3097688855305787,1.716776199999913,105.8602794999997
11,14000,4.455333690359825,1.6882157999998526,18.195117899999786
12,14000,3.324125826516612,1.7251753000000463,11.74987179999971
13,14000,3.54907594642459,1.7053377000002001,66.2844328000001
14,14000,7.722276348675297,1.854698300000564,108.16636850000032
15,14000,4.811044573623494,1.6876464000006308,60.7742216000006
16,14000,2.1106203618446213,1.7776736000005258,14.383402000000387
17,14000,1.5163768306521577,1.7962587000001804,19.989924499999688
18,14000,6.59740621364973,1.741081099999974,13.345385200000237
19,14000,2.5970817644547424,1.7113956000002872,78.0508206000004
20,14000,3.1776999843666496,1.7932777999994869,12.457410699999855
21,14000,2.5817240625926954,1.7158172999997987,16.395405899999787
1,15000,19.677079864152034,1.7372181000000637,29.864626900000076
2,15000,6.951853940856436,1.7029438999998092,26.614188300000023
3,15000,6.371289860794505,1.7454225000001315,27.447441100000106
4,15000,2.0132028013033394,1.7092215000002398,35.29533579999952
5,15000,2.9314829672444365,1.7668392999994467,71.30532879999919
6,15000,2.6661859221922044,1.7464346000006117,7.158430200000112
7,15000,3.559416608025066,1.773265299999366,21.349290899999687
8,15000,1.5324951633803712,1.7578710999996474,21.59635369999978
9,15000,3.0657752650034227,1.756717899999785,35.588186800000585
10,15000,17.363750312710252,1.714516700000786,57.124149500000385
11,15000,2.932801839372923,1.8003969000001234,33.22141310000006
12,15000,5.383747186506772,1.762280699999792,42.17121419999967
13,15000,8.209720507592364,1.7722359999997934,102.05389240000022
14,15000,23.231225491423633,1.7268236999998408,14.889829399999144
15,15000,4.189455289587305,1.728531899999325,51.20894599999974
16,15000,6.282987758216034,1.7570840999997017,75.55621470000006
17,15000,21.02378152804241,1.7955786000002263,116.56864479999967
18,15000,4.138801893248114,1.7139807000003202,14.271142700000382
19,15000,3.1405482908465365,1.7209547000002203,117.6076748000005
20,15000,2.7876015717390707,1.7500460000001112,15.979261000000406
21,15000,5.195919020464828,1.721431400000256,16.977327000000514
1,16000,5.73594329077674,1.73689209999975,23.038751299999603
2,16000,10.868263911488183,1.7307945000002292,17.368693999999778
3,16000,5.033413123053079,2.0078878000003897,124.3172895000007
4,16000,5.996128406274706,2.0415548000000854,18.83930800000053
5,16000,10.429096046985787,1.7147592999999688,124.29380650000076
6,16000,4.308887203458826,1.7419698000003336,55.85751430000073
7,16000,12.250894881958134,1.7598506000003908,60.58556779999981
8,16000,2.7854896447914146,1.738368100000116,62.600437000000056
9,16000,4.055222973900758,1.7616146999998819,42.00134119999984
10,16000,1.8899531501730271,1.7396891999997024,31.776756999999634
11,16000,5.473823558070105,1.6286778000003324,71.92664250000053
12,16000,5.2255808321068775,1.6506574999993973,39.187592599999334
13,16000,1.9913014519790848,1.7905141000001095,27.051600299999336
14,16000,4.381166614421632,1.7609937999995964,38.342863099999704
15,16000,4.618620180825715,1.759441200000765,17.20368530000087
16,16000,10.625789119260261,1.726181799999722,61.805324899999505
17,16000,8.193955635429118,1.7614505000001373,13.95785590000014
18,16000,4.822556178221706,1.7566480000004958,87.9990859999998
19,16000,7.584913217097557,1.796613100000286,57.12837959999979
20,16000,6.3926180897857305,1.725496000000021,16.537559699999292
21,16000,2.905735858003734,1.742062899999837,22.607775599999513
1,17000,14.180387946200613,1.7352720999997473,130.64225089999945
2,17000,4.759742806192483,1.7586542000008194,17.831104200000482
3,17000,1.7520084186874023,1.8090521000003719,34.28702350000003
4,17000,2.8942015049306478,1.8988077000003614,14.860888100000011
5,17000,8.098226083465782,1.7208041000003504,47.11074129999997
6,17000,4.120056834416592,1.7365926000002219,14.224016200000733
7,17000,7.804795855905877,1.70248889999948,21.650925899999493
8,17000,1.6403267657173237,1.7405385000001843,22.666616900000008
9,17000,7.648886641364996,1.7835605000000214,29.13861480000014
10,17000,3.3114603528107915,1.739751499999329,131.5532788999999
11,17000,5.222396207830249,1.7229058000002624,29.610482000000047
12,17000,12.290352947329824,1.7613241999997626,40.57078249999995
13,17000,2.0454590006779987,1.7469849999997678,34.6815846999998
14,17000,3.5589654740143573,1.7734649999993053,32.107714799999485
15,17000,4.981904072092835,1.7283280000001469,17.911247000000003
16,17000,3.6545533016094036,1.703576900000371,12.350462000000334
17,17000,2.232901540869847,1.7190534999999727,39.41796759999943
18,17000,9.709451895043905,1.748745300000337,32.37772109999969
19,17000,5.079352629556642,1.7171227999997427,19.417551900000035
20,17000,24.744995228545744,1.8451091000006272,50.734386500000255
21,17000,2.12829677207416,1.7860299000003579,22.606872500000463
1,18000,2.762356009156948,1.7437102000003506,15.382402500000353
2,18000,3.309707026915707,1.7433444999996937,12.449768399999812
3,18000,7.4802073828547355,1.7144297999993796,50.543150100000275
4,18000,3.6445274075500773,1.7475876999997126,14.679333500000212
5,18000,4.727848940501311,1.7622473000001264,21.431903100000454
6,18000,8.25552521696658,1.8158978000001298,105.03687859999991
7,18000,4.920984317147865,1.7781621000003724,48.46044560000064
8,18000,7.2400703259135915,1.8163249000008364,40.38735799999995
9,18000,1.8933631486526705,1.7992909999993572,35.789920399998664
10,18000,2.746575129212342,1.7653155000007246,26.5478619000005
11,18000,3.294500497100207,1.7632886999999755,59.371760600000925
12,18000,3.33313164627372,1.76993290000064,61.937106600000334
13,18000,2.0241105501838326,1.6861893999994209,61.29509660000076
14,18000,59.970430421877865,1.7090270999997301,15.27768019999894
15,18000,3.889536950522791,1.7823211999984778,34.10572239999965
16,18000,7.369483655865731,1.8154131999999663,19.602347500000178
17,18000,3.322677364778891,1.830769700000019,33.13107510000009
18,18000,4.117837483723112,1.7485906000001705,19.833366200000455
19,18000,3.818493371893432,1.7600886000000173,88.70958410000094
20,18000,4.6468897180797235,1.7026747999989311,20.12166409999918
21,18000,4.9238493346821715,1.7484223999999813,49.34813049999866
1,19000,3.923286551172885,1.7234303999994154,29.357907499999783
2,19000,1.8461439181222672,1.640217300000586,7.958196400000816
3,19000,1.5157368108081468,1.6912928000001557,23.464186000001064
4,19000,2.5466484921825137,1.7499259000014717,14.67017180000039
5,19000,9.962668413455134,1.7179346999982954,106.30216819999987
6,19000,5.995873960392632,1.7619414000000688,44.278585199999725
7,19000,4.387168511023251,1.7626273999994737,23.738385499998913
8,19000,5.821088187026704,1.8252563000005466,22.86518740000065
9,19000,2.32396243946527,1.7876928000005137,24.866340200000195
10,19000,7.586530419725726,1.7836506999992707,19.76071210000009
11,19000,19.169962841317947,1.744477199999892,88.40648970000075
12,19000,6.407262979356796,1.8262735999996949,23.449190600000293
13,19000,2.2770903691067557,1.737098399999013,27.30424949999906
14,19000,5.8097836978426445,1.7069262000004528,34.36008740000034
15,19000,3.1706998162671516,1.765203000000838,25.98121759999958
16,19000,1.1816877003779467,1.6836435000004712,12.297256099998776
17,19000,1.7656654731181174,1.7693398999999772,26.36103170000024
18,19000,2.6874556332213135,1.8355031999999483,15.843117999998867
19,19000,4.101761025655328,1.7258196999991924,40.57335050000074
20,19000,4.044862958362285,1.7484300000014628,18.483876500000406
21,19000,2.369965302727422,1.7692406999995,24.912844599999517
1,20000,3.467796342236743,1.831852400000571,40.49627069999951
2,20000,2.2402955634195894,1.765382600000521,24.17614010000034
3,20000,2.176371774525331,1.805851099999927,104.3283964000002
4,20000,3.391539057852706,1.7884294000014052,41.10843510000086
5,20000,3.695301429218846,1.8129826999993384,25.91643440000007
6,20000,6.4215082654963425,1.7883995000011055,18.66129600000022
7,20000,4.055377921881546,1.7206471000008605,44.0591258000004
8,20000,3.0088235432997,1.7783767000000807,123.46652619999986
9,20000,3.993964837384673,1.7042453000012756,155.75422320000143
10,20000,1.9487138211224961,1.743385699999635,18.59733899999992
11,20000,5.5819820690262345,1.7383094000015262,20.311138900000515
12,20000,5.201533164594364,1.8224166999989393,19.085063900000023
13,20000,5.343526020273887,1.7460383999987243,28.341236199999912
14,20000,3.1601291838412053,1.7111488999998983,17.4055184000008
15,20000,2.930299482899512,1.8090020999989065,50.58941260000029
16,20000,3.494165633395069,1.7329667000012705,97.45218110000133
17,20000,1.6118196918638505,1.7823187000012695,17.6047681
18,20000,3.991698944822736,1.7632696999990003,19.385179199998674
19,20000,3.1844391903812723,1.8219334999994317,33.62239509999927
20,20000,6.4183795906495,1.8266065000007075,155.63644620000014
