run,size,ratio,sampling_time_s,total_time_s
1,10000,1.0185761456518792,8.207770700000001,13.3258574
2,10000,1.0301007968971485,8.1655987,15.554790699999998
3,10000,1.018975597973237,8.1402247,15.3672279
4,10000,1.0138662019322324,8.2881602,17.0198516
5,10000,1.0122209097180674,8.337387,14.779175700000003
6,10000,1.0232829885115826,8.4883284,15.042857599999998
7,10000,1.0207006141554942,8.2624815,10.3694931
8,10000,1.0209482221034518,8.503822399999997,13.349863899999995
9,10000,1.016738435947901,8.4838521,16.785184800000003
10,10000,1.0152462190734992,7.907029600000001,9.754441499999999
11,10000,1.1825371985158726,7.778891399999999,19.630648
12,10000,1.0278407565483862,7.7312723000000005,11.707215400000003
13,10000,1.014204508751943,7.834326999999995,14.718973899999995
14,10000,1.0128109654797859,7.7862592000000035,22.7255782
15,10000,1.0285805619977726,8.000863199999998,12.065629000000001
16,10000,1.0341402615995268,7.7725832,18.021196700000004
17,10000,1.0319892081014526,8.049186599999999,12.424903
18,10000,1.0152406188238055,7.978454099999993,16.777488399999996
19,10000,1.0607681335196462,7.892380899999992,15.735295999999991
20,10000,1.0218538128834458,7.877233399999994,14.101999199999995
21,10000,1.0137065802891128,9.154370900000004,18.447987600000005
1,11000,1.02299552551967,9.116265499999997,15.921897600000008
2,11000,1.019208940306262,9.983781400000012,21.06040990000001
3,11000,1.0111807762016571,9.736983500000008,31.14952009999999
4,11000,1.0132858423912339,9.594313499999984,12.868653199999997
5,11000,1.081300347514585,10.328023599999995,21.95582920000001
6,11000,1.0142879651649848,11.225572500000027,18.926771700000018
7,11000,1.0369063144747552,8.85040380000001,19.228196000000025
8,11000,1.0216847991138018,8.674487800000009,14.501037999999994
9,11000,1.0169961807700152,8.296035100000012,22.846856099999997
10,11000,1.0250733110428583,8.71975789999999,11.028689700000001
11,11000,1.0189399915929371,8.322841899999986,14.136894099999978
12,11000,1.0147843048686678,8.426129099999997,18.081712100000004
13,11000,1.0309027990324555,8.426734199999999,11.473658900000004
14,11000,1.013604365076733,8.162639099999978,14.956731199999979
15,11000,1.0143047458766974,8.004443500000008,18.299234100000007
16,11000,1.0261033461607925,9.039678399999985,17.98585940000001
17,11000,1.0234296973068682,9.216405600000002,14.492925100000008
18,11000,1.0227769330876135,8.054473700000017,17.208070399999997
19,11000,1.0203960371031966,7.994752599999998,15.840964200000002
20,11000,1.0118927186085398,8.164057599999978,11.178149399999995
21,11000,1.0146027963293711,7.80643950000001,17.5171134
1,12000,1.0155719712714517,7.7366631000000154,20.246374900000006
2,12000,1.0144417119928582,7.937379199999981,11.314365099999975
3,12000,1.0193340456688869,7.83764930000001,12.586190000000016
4,12000,1.0118840338437036,7.866636100000022,14.024439600000022
5,12000,1.0079827555546415,7.939094400000016,15.247805999999997
6,12000,1.0156674507470593,7.876966100000004,13.800900200000001
7,12000,1.0196724395296317,7.788455599999992,19.1660368
8,12000,1.015454392881862,7.9548992,12.783543899999984
9,12000,1.0290058343855775,7.90497049999999,12.991698799999995
10,12000,1.032564670343848,7.898700099999985,10.625166799999988
11,12000,1.0115012518299156,7.781536500000016,15.340499300000033
12,12000,1.024291954411843,8.019078000000036,16.818684500000018
