run,size,ratio,sampling_time_s,total_time_s
1,1000,1.1879110832834008,1.935061399999995,2.1887217999999393
2,1000,1.269195420106262,1.3940280000000485,1.5205779000000348
3,1000,1.281599400261747,1.6194711999999072,1.9551017999999658
4,1000,1.203995075675177,1.6028843999999935,1.772151299999905
5,1000,1.1378633249638823,1.3324290000000474,1.4493426000000227
6,1000,1.2180971353512442,1.3892336000000114,1.508777400000099
7,1000,1.2734474202421233,1.3138516999999865,1.471565299999952
8,1000,1.305852028335056,1.3085784999999532,1.4450222000000394
9,1000,1.2153024897579627,1.3301116000000093,1.4785117999999784
10,1000,1.219926877367169,1.2791336000000229,1.4012683000000834
11,1000,1.1750889510081828,1.3186858999999913,1.4759874999999738
12,1000,1.205872694529523,1.2933716000000004,1.4214141999999583
13,1000,1.2629526044797086,1.3364278999999897,1.4739217000000053
14,1000,1.1365060815573733,1.3247276000000738,1.4734909000000016
15,1000,1.2241071187570356,1.304350099999965,1.4336249000000407
16,1000,1.1565819892450375,1.2870887000000266,1.4440412000000151
17,1000,1.1223708488307311,1.256251900000052,1.449226000000067
18,1000,1.1666142129368302,1.249289400000066,1.432919800000036
19,1000,1.11170838538619,1.1827339999999822,1.3717778999999837
20,1000,1.160724419005397,1.2547396999999592,1.473967000000016
21,1000,1.1353805303429196,1.2702670999999555,1.4297259999999596
1,3000,1.0569293411115384,1.1938734000000295,1.480381100000045
2,3000,1.0481966804294192,1.2372669000000087,1.6151056999999582
3,3000,1.0423483879294442,1.2289718000000676,1.6952151000000413
4,3000,1.0447788198472596,1.242302900000027,1.6526447999999618
5,3000,1.0454104454508177,1.2262093000000505,1.5074448000000302
6,3000,1.0371905842725568,1.220458899999926,1.7396305999999413
7,3000,1.0580620706593633,1.211016099999938,1.629150500000037
8,3000,1.0417353114344665,1.5967231999999285,2.057543199999941
9,3000,1.055348761105694,1.4408046999999442,1.8742817999999488
10,3000,1.0476267693620496,1.2929090999999744,1.7645123999999441
11,3000,1.0488989797596024,1.4216056999999864,1.872600499999976
12,3000,1.0381811631350695,1.2352217999999766,1.6945736000000124
13,3000,1.0382622648900544,1.2857962000000498,1.5744138999999677
14,3000,1.0540111600392372,1.4194387999999662,1.7153210000000172
15,3000,1.0372394402348764,1.2808727000000317,1.6315100000000484
16,3000,1.0376387865004775,1.2659141999999974,1.8042476000000534
17,3000,1.042816684582344,1.3274809000000687,1.7059742000000142
18,3000,1.067800222341353,1.355212300000062,1.687917500000026
19,3000,1.046366787579247,1.2802894999999808,1.5485418999999183
20,3000,1.0405785972515458,1.333654499999966,1.7341242999999622
21,3000,1.0560109554711457,1.3817712999999685,1.871077899999932
1,5000,1.0219884757989341,1.3169613000000027,1.8560576999999512
2,5000,1.016303028732454,1.4270542000000432,1.9662581000000046
3,5000,1.0269843214663568,1.6223777000000155,2.1675390000000334
4,5000,1.0129481804811802,1.4280959000000166,1.9185799000000543
5,5000,1.028525114910435,1.3555291999999781,2.201806499999975
6,5000,1.023510251325394,1.3742864999999256,2.022890899999993
7,5000,1.0180565960170356,1.3543090000000575,2.1776597000000493
8,5000,1.032440818890066,1.5815926999999874,2.1828570000000127
9,5000,1.0286500597332997,1.4081840000000057,2.0527120000000423
10,5000,1.0252288222597894,1.367901800000027,1.9549888000000237
11,5000,1.0193935110354597,1.411038899999994,2.291688600000043
12,5000,1.0255870466565136,1.3514208999999937,2.0347258000000465
13,5000,1.0183483222968572,1.4694527000000335,2.041669899999988
14,5000,1.015519525231169,1.3247973000000002,2.112990399999944
15,5000,1.030140774235679,1.2876806000000443,1.858564699999988
16,5000,1.0466465974273036,1.2522383000000445,1.938474200000087
17,5000,1.028485447853814,1.3128626000000168,1.9198096000000078
18,5000,1.015953384081338,1.3133494000001065,1.8021118999999999
19,5000,1.030733235316402,1.2711182999998982,2.010913999999957
20,5000,1.0161768980103079,1.394648400000051,1.9460447999999815
21,5000,1.026659705717507,1.2926779000000579,2.062480800000003
1,7000,1.0189631880189947,1.3069575000000668,1.997495400000048
2,7000,1.0111460702811501,1.2278162999999722,1.8690997999999581
3,7000,1.026493565268277,1.3245769999999766,2.2086521999999604
4,7000,1.0127744236037437,1.231466599999976,2.146839
5,7000,1.014947619891038,1.2297485999999935,2.2088598000000275
6,7000,1.018456105571231,1.23865109999997,1.7985711000000038
7,7000,1.0227521490201692,1.2045520000000352,2.3232087000000092
8,7000,1.0169266125739973,1.2332242999999607,2.097201400000017
9,7000,1.010420400766788,1.2218738999999914,1.9167358000000831
10,7000,1.0157268530432364,1.2306793999999854,2.2003535999999713
11,7000,1.0102084895312464,1.22130750000008,2.054582900000014
12,7000,1.0105606553918713,1.2320675999999366,2.171622999999954
13,7000,1.016414542975221,1.1805316999999604,1.8895225999999639
14,7000,1.0139583487813952,1.2174695999999585,2.1180521
15,7000,1.0185772050918056,1.2514601999999968,2.2455370999999786
16,7000,1.022768917620928,1.2389580999999907,2.2195421000000124
17,7000,1.0222212170170186,1.2077401999999893,2.1064662
18,7000,1.0263582754890812,1.1665715999999975,1.9694218000000774
19,7000,1.0197047697737107,1.2566947999999911,2.1308087999999543
20,7000,1.0206044522851898,1.2106311999999662,2.070805299999961
21,7000,1.0122612778230784,1.2419976999999562,2.2585774000000356
1,9000,1.0145363317267269,1.382344900000021,2.638183599999934
2,9000,1.0120280963859434,1.3179493000000093,2.4260950999999977
3,9000,1.0174101662969295,1.3505861999999524,2.29891269999996
4,9000,1.014809691940811,1.3314100000000053,2.111080599999923
5,9000,1.0182875776276485,1.3385833999999477,2.1731342999999015
6,9000,1.0154393599549287,1.3801793000000089,2.482183999999961
7,9000,1.017692007848785,1.354601500000058,2.2195381000000225
8,9000,1.0101030212808466,1.3275518000000375,2.32127330000003
9,9000,1.0173617884354729,1.40445950000003,2.64685350000002
10,9000,1.0113592661444768,1.4345990000000484,2.3893708000000515
11,9000,1.0124872030597678,1.4076566999999613,2.50585209999997
12,9000,1.013791084094707,1.3553087999999889,2.5502665999999863
13,9000,1.008559656256194,1.4092756000000008,2.761621699999978
14,9000,1.0192465751719346,1.3445198999999093,2.49811289999991
15,9000,1.008366357158205,1.3561745000000656,2.6467143000000988
16,9000,1.0119826206187554,1.3280960000000732,2.641180400000053
17,9000,1.010127563850939,1.7262583000000404,2.8764088000000356
18,9000,1.0259937207209961,1.3365168000000267,2.4151881999999887
19,9000,1.008809217662404,1.2867628999999852,1.99942180000005
20,9000,1.0285569737996638,1.353557799999976,2.2901787000000695
21,9000,1.0185030318325703,1.2881278999999495,2.424184500000024
1,11000,1.006534468412611,1.2089538999999832,1.9835087999999814
2,11000,1.0125286870891872,1.2193043000000898,2.4172482000000173
3,11000,1.008846602641932,1.1849094000000377,1.9117843999999877
4,11000,1.008309333842743,1.2383069999999634,2.270827199999985
5,11000,1.0097543929547454,1.220505800000069,2.522487900000101
6,11000,1.0132763514636909,1.1625619000000142,2.216238999999973
7,11000,1.012208280030646,1.174732600000084,2.0368306000000302
8,11000,1.0082862075330261,1.2165469000000257,2.570316299999945
9,11000,1.0053199792508736,1.1577416999999741,2.5000856999999996
10,11000,1.0067929832729985,1.2299189000000297,2.259404199999949
11,11000,1.0119111770955735,1.2499688000000333,2.1965479000000414
12,11000,1.008352137900167,1.1999974000000293,2.1670910000000276
13,11000,1.0052950192148453,1.1994601000000102,2.088238799999999
14,11000,1.008999522214273,1.2431328999999778,2.8406519000000117
15,11000,1.007977897625906,1.186629499999981,2.306275699999901
16,11000,1.0094812014198966,1.2436507999999549,2.495662399999901
17,11000,1.0105927702394473,1.231543600000009,2.2622358999999506
18,11000,1.0116563397561988,1.418067800000017,2.942874899999879
19,11000,1.0081840710143113,1.4277492999999595,3.332280300000093
20,11000,1.0098316651698982,1.3832420000001093,2.945072800000162
21,11000,1.009185454922954,1.3192050000000108,2.6126378999999815
1,13000,1.006921877292761,1.4471446000000014,3.082191499999908
2,13000,1.0083050754843077,1.3608610999999655,3.193639700000176
3,13000,1.006381381425319,1.3855828999999176,2.9403765999998086
4,13000,1.004985417525298,1.374955,2.849050600000055
5,13000,1.0064716325235665,1.37851169999999,3.096673699999883
6,13000,1.007219529627865,1.3656791000000794,3.2538752000000386
7,13000,1.0082966047784996,1.409564699999919,2.979723100000001
8,13000,1.0074437059011514,1.3566390000000865,2.9983472999999776
9,13000,1.0094405398974864,1.4145067000001745,3.3225007000000915
10,13000,1.0067564310262944,1.3321731999999429,2.4576872999998614
11,13000,1.00481237452011,1.3520336999999927,2.934105699999918
12,13000,1.0171965042939801,1.4305616999999984,3.31302340000002
13,13000,1.0109624327319493,1.3508914999999888,2.891430499999842
14,13000,1.0044943384813494,1.339748899999904,2.9084247999999207
15,13000,1.0045592795668632,1.644644400000061,3.1427126999999473
16,13000,1.0094063462065124,1.3848967999999786,2.8950729000000592
17,13000,1.0120682132697867,1.2561510000000453,2.4936984999999368
18,13000,1.0057244036285706,1.1714403000000857,2.728659900000139
19,13000,1.0063860294892053,1.3700677000001633,3.2214419000001726
20,13000,1.004280359827603,1.5826368000000457,3.2913937999999234
21,13000,1.005184291896923,1.7096374000000196,3.4261042000000543
