run,size,ratio,sampling_time_s,total_time_s
1,2000,1.0427053002449476,9.319593699998222,10.73093709999739
2,2000,1.0463750012136082,9.320539299998927,10.952644600001804
3,2000,1.0473181392673907,9.363261599999532,11.357597999998688
4,2000,1.0968748050414348,8.901034099999379,11.357454599998164
5,2000,1.0892836886285677,9.086518600001,10.610256399999344
6,2000,1.0369884502820084,9.000135899997986,10.559866799998417
7,2000,1.0475488009514196,9.125707899998815,11.971033500001795
8,2000,1.087375188131878,9.366965000001073,12.526129400001082
9,2000,1.0841668164463574,9.17196740000145,11.195069199999125
10,2000,1.0398494238289615,9.137067299998307,11.197490800001106
11,2000,1.0179894421736657,9.140618500001437,11.183089199999813
12,2000,1.05677099872744,9.04456410000057,10.063350100001117
13,2000,1.0932374935326108,9.225921299999754,10.914253499999177
14,2000,1.0221691690712347,9.191940999997314,11.85959720000028
15,2000,1.025925114284904,9.143856400001823,11.541611600001488
16,2000,1.061121836064716,8.991336799997953,11.007067200000165
17,2000,1.060960348538374,8.998246399998607,10.915637800000695
18,2000,1.1305161430181074,9.195805499999551,10.838575500001753
19,2000,1.0478311353261294,8.851813200002653,11.134566700002324
20,2000,1.0300827078750137,8.881942299998627,11.110749799998302
21,2000,1.040990989249177,9.09959969999909,10.16689100000076
1,3000,1.0376273579387856,9.132274699997652,11.429100599998492
2,3000,1.0708859946711595,8.92628180000247,11.208738500001346
3,3000,1.0437387040608035,9.226605200001359,13.723496800001158
4,3000,1.0145011024279393,8.846236100001988,10.954297300002509
5,3000,1.0120521535811502,9.090588099999877,12.260679499999242
6,3000,1.0368082935253495,8.865626999999222,12.055271699999139
7,3000,1.0138019111061602,8.791707000000315,12.427246999999625
8,3000,1.025988740240531,8.995204000002559,13.10388850000163
9,3000,1.0257652320752655,8.788295300000755,13.422782100002223
10,3000,1.0176570421515199,8.870818999999756,12.080860699999903
11,3000,1.014219980159963,9.030943000001571,11.95865010000125
12,3000,1.0170640066710137,8.978020399998059,11.059326699996745
13,3000,1.063454589788385,8.797073400000954,11.965478699999949
14,3000,1.0234387552789603,8.902866600001289,13.395375600000989
15,3000,1.025946285433361,8.950595199999952,12.02334669999982
16,3000,1.030378538854652,8.907287800000631,12.34034629999951
17,3000,1.0164732418014244,9.077007199997752,11.570262599998387
18,3000,1.019932256502925,9.079535499997291,12.559897699997236
19,3000,1.0523979455768893,8.844159699998272,12.05264790000001
20,3000,1.0194580099220942,8.93476659999942,10.95460599999933
21,3000,1.0192908920032278,8.982839300002524,13.648856700001488
1,4000,1.0241935608285893,8.85268079999878,13.042096000001038
2,4000,1.012353278888115,8.917007699998067,11.79115019999881
3,4000,1.0132624769984093,8.861018999999942,13.10820160000003
