run,size,ratio,sampling_time_s,total_time_s
1,500,39.068082850252345,2.3604859999977634,2.369901599995501
2,500,62.65046912953009,2.347942799999146,2.3587897999968845
3,500,67.91167388352545,2.3945636999997078,2.405389699997613
4,500,168.33111221148744,1.3454807000016444,1.357544999998936
5,500,56.51419306796471,1.409435500005202,1.4194722000029287
6,500,66.98771513904423,1.3685152000034577,1.37776770000346
7,500,79.25591501749258,1.4201955999960774,1.4301020999992033
8,500,50.36960961429278,1.3563638999985415,1.367386300000362
9,500,67.49705289907304,1.3230624999996508,1.3359204000007594
10,500,27.910417573679258,1.4079283999963081,1.4176952999987407
11,500,78.28958799971814,1.3534165999953984,1.364659799997753
12,500,34.89888647834841,1.3225953000001027,1.3315153000003193
13,500,51.14436201800646,1.339252799996757,1.3494981999974698
14,500,83.35426572763942,1.372079400003713,1.384557000004861
15,500,58.65141496671987,1.376132299999881,1.3849234999943292
16,500,35.87008820935599,1.4103938000043854,1.4196983000001637
17,500,51.99525581416704,1.362113600000157,1.3712863000037032
18,500,59.06457534417873,1.3130879000018467,1.3229552000047988
19,500,86.78164241742422,1.3683701999980258,1.3797103999968385
20,500,44.40591574938238,1.3406268999970052,1.350198799998907
21,500,83.86921091829713,1.3540531999969971,1.3645121000008658
1,1000,23.531038774268236,1.3951730000044336,11.044466200000898
2,1000,136.72048679672866,1.4441030000016326,1.4753917999987607
3,1000,3338.6201981602285,1.4558422000045539,1.572902100000647
4,1000,634.3173925071274,1.334743500003242,1.3708804999987478
5,1000,406.55393596421885,1.3145899000010104,1.3473229000010178
6,1000,2.8920882965345074,1.2860853000020143,3.4680252999969525
7,1000,957.0920120958365,1.2837348000030033,1.332042800000636
8,1000,234.46224421118666,1.2849066999988281,1.311770100001013
9,1000,1048.2428661904585,1.3163131999972393,1.3682282000008854
10,1000,578.2080282293673,1.3067070999968564,1.3412314000015613
11,1000,248.3805662473741,1.2806956000058562,1.3018846000049962
12,1000,13108.937652888155,1.3285248999964097,1.6365157999971416
13,1000,102.35703709996723,1.3445467999990797,11.480292200001713
14,1000,1448.7408762435039,1.3295511000033002,1.3824215999993612
15,1000,260.27456481746606,1.3759320999961346,1.3997877000001608
16,1000,1924.4002133442216,1.3472385999994003,1.3927215000003343
17,1000,334.85433165604593,1.2945777000059024,1.3185707000011462
18,1000,1551.5948333453591,1.3156109000046854,1.3613742000015918
19,1000,19649.125670263067,1.377094199997373,3.3734669999976177
20,1000,403.1843761230226,1.3247436000019661,1.3518129000003682
21,1000,211.21343118509756,1.2808218999998644,1.3061232999971253
1,1500,4.0619024668295145,1.2904465999963577,9.804618100002699
2,1500,4.201208717970462,1.314650199994503,5.497803499994916
3,1500,2.9022461000161694,1.324227000004612,3.345096900004137
4,1500,6.379797822304914,1.3402826000019559,4.782308600006218
5,1500,3.0206137233548795,1.3458722999930615,8.870079099993745
6,1500,3.4821297099431003,1.3599856000000727,7.389883999996528
7,1500,2.695065218269145,1.328217800000857,5.2899682999996
8,1500,3.6811036227283034,1.3301157000023522,2.6924656000046525
9,1500,2.4573256079305494,1.3348803999979282,2.78189040000143
10,1500,2.6728508336625665,1.295794500001648,4.806523700004618
11,1500,2.97264076795708,1.3188073999990593,5.465265799997724
12,1500,6.996812528749762,1.3060761999950046,11.730183099993155
13,1500,4.850952588849654,1.3201608000017586,15.829856600001222
14,1500,4.567454955497501,1.3200962000046275,6.669726600004651
15,1500,3.9894003696260345,1.3806154999983846,4.4813973999989685
16,1500,3.3860134707786482,1.4280160999987856,9.824903900000209
17,1500,3.4264044309302077,1.313172800000757,9.254242299997713
18,1500,2.61247437442712,1.3740282999933697,3.3704649999999674
19,1500,3.822857231262325,1.325271800000337,3.3135083000015584
20,1500,2.7748249889089123,1.3391749000002164,2.332806600003096
21,1500,11.20312317388929,1.354185199998028,6.509048999992956
1,2000,1.9933650590241012,1.3651218000013614,4.421812500004307
2,2000,1.9002480336487722,1.3121651999972528,5.015980500000296
