run,size,ratio,sampling_time_s,total_time_s
1,500,2197.481117302695,180.9963659,182.5707639
2,500,129.67588940834497,201.9340823,202.62856920000002
3,500,89.3346471348822,198.74113649999998,199.4049179
4,500,125.02032874459442,199.18525219999998,199.92567079999998
5,500,347.6888868464265,124.47562190000002,124.51159860000001
6,500,104.835060862601,138.8910387,138.961197
7,500,857.3532640455396,138.805564,138.9088797
8,500,937.2774089246728,136.30579820000003,136.40784050000002
9,500,222.0665148063439,125.2859305,125.31573850000001
10,500,175.98828558747206,127.07431689999999,127.115836
11,500,1588.6364147227798,134.8566363,134.9000479
12,500,3855.7527557997837,126.23139400000002,126.43180160000003
13,500,605.3359142776674,117.36939550000005,117.41522909999998
14,500,40.71445740594254,115.07257519999996,118.83758220000004
15,500,7306.942179794996,116.1207197,116.27239200000008
16,500,405.6915341992961,113.28984010000005,117.72110779999997
17,500,233.05615126105414,110.9638324,110.99064579999992
18,500,432.84744240140697,112.83776009999997,112.86708999999996
19,500,1304.051896128841,113.5797462999999,113.64785539999991
20,500,785.0739576744048,112.07440789999998,112.10596499999997
21,500,2478.357857051551,104.61356850000004,104.6595797
1,1000,2.4528873233235258,107.16032499999994,109.466587
2,1000,44.15363330876314,108.09827340000004,110.31370850000008
3,1000,8.318980591790899,107.41929019999998,111.65268379999998
4,1000,1.7868851362965645,108.91350829999999,109.35459560000004
5,1000,2.8669370812811126,117.23390240000003,118.86935700000004
6,1000,7.536245318197833,121.42940149999993,123.57395099999997
7,1000,1.6787316079366408,120.66067779999992,121.07260509999992
8,1000,7.69750019127401,139.55527260000008,140.95323070000006
9,1000,2.2826290739485957,150.77421449999986,152.50942120000002
10,1000,2.014621682695642,156.7351475999999,157.63483040000006
11,1000,2.592359007316809,155.7957044000001,156.26929899999993
12,1000,4.269448761373164,150.8876924,153.76863289999994
13,1000,1.663995929345858,135.32127179999998,136.87264329999994
14,1000,2.819832881220433,135.15599709999992,136.67147939999995
15,1000,3.6954241748280903,133.6528145000002,134.42887400000018
16,1000,1.8244723820289095,106.16588070000012,106.72095409999997
17,1000,2.0111707381670896,103.78270079999993,104.17175820000011
18,1000,4.576381002350648,105.5583764999999,107.25877500000001
19,1000,18.8512840209147,104.1103435,106.23065689999999
20,1000,2.371595279461631,113.75990120000006,116.99527760000001
21,1000,3.106954472209844,113.33298779999996,115.00602350000008
1,1500,13.766993038163843,119.46082950000005,121.29015619999996
2,1500,1.4946248716184054,120.02739210000004,120.53868309999984
3,1500,1.393146837981745,112.3387894,113.16499929999986
4,1500,1.3945443912109932,116.5617201,117.68410560000007
5,1500,1.5682873762043006,118.28486900000007,119.30210380000017
6,1500,1.4202121289711287,118.3777121999999,120.26401629999987
7,1500,1.263575085888575,111.4033273,111.89714639999988
8,1500,1.6927603940889202,109.2626863999999,110.09526529999994
9,1500,2.9806264217695015,110.83223610000005,113.17941470000005
10,1500,2.2471283134161806,111.22062519999986,112.14368779999995
11,1500,1.6419914628382901,110.02225179999982,111.52670209999997
12,1500,1.5252226184409534,111.77226880000012,112.54516360000002
13,1500,2.2858791185938503,115.74348959999998,119.43067159999987
14,1500,10.904807056472139,116.8184827,121.78661480000005
15,1500,1.8049046359000265,116.07156369999984,116.69653270000003
16,1500,1.929510835248946,111.63501289999999,112.3210873999999
